FEN,Moves,Moves_UCI,Puzzle_ID
2kr1b1r/1pq2ppp/p3pn2/6B1/2BNb3/8/PPPR1PPP/R2Q2K1 w - - 0 1,Nxe6,d4e6,072CBP
3r2r1/p3Rbk1/5q2/3P2p1/P2Q2P1/2p2p2/8/4RBK1 w - - 0 1,Rxf7+,e7f7,073CBP
rnbq1rk1/ppp3bp/3p2p1/4pp2/2PPP1n1/2N2N1P/PP2BPP1/R1BQK2R b KQ - 0 1,Nxf2,g4f2,074CBP
2r2rk1/ppq3pp/4p3/3pP3/P3n3/P7/R1n2PPP/1BBQ1RK1 b - - 0 1,Nxf2,e4f2,075CBP
3rr1k1/pq3pbp/N1p1pnp1/5b2/3B1P2/2P5/PP3QPP/R3RBK1 b - - 0 1,Ng4,f6g4,076CBP
r5k1/1p3ppp/p2r4/4nNqn/B3P3/P4PPb/1B2QK1P/3R3R b - - 0 1,Nf4,h5f4,077CBP
1rb1qr2/p4pk1/1n5p/1n1pP3/NppP1B2/8/P3B1PP/1R1Q1RK1 w - - 0 1,Bxh6+,f4h6,078CBP
4rrk1/p1p2p1p/2p3p1/3pPQN1/1bq5/7R/PP3PP1/3R2K1 w - - 0 1,Qf6,f5f6,079CBP
r5kr/1ppqb3/p2p4/3PpNPp/4Pp2/5P2/PPPQN3/1K4R1 w - - 0 1,Nxf4,e2f4,080CBP
Bn5k/p5bp/3p2p1/1pq5/r7/3QNN2/bPP3PP/2KR3R b - - 0 1,Bc4,a2c4,081CBP
r5k1/pp1rppbp/nqp3p1/8/Q2PP1n1/2N3PP/PP3P2/R1BRN1K1 b - - 0 1,Rxd4,d7d4,082CBP
2rq1rk1/1b3ppp/p2b4/1pnPp1P1/4N1Q1/4B2P/PPP2RB1/R5K1 w - - 0 1,Nf6+,e4f6,083CBP
r4rk1/ppp1b1pp/2n1p3/4p3/1P6/P1NqP3/1B1P1PPP/R2QK2R b KQ - 0 1,Nd4,c6d4,084CBP
2k1r3/Qbp2p1p/2p5/2Prbqp1/2Bp1n2/1P3NP1/PB5P/2KR3R b - - 0 1,Ne2+,f4e2,085CBP
2rr2k1/1b3ppp/p3pn2/8/1bqNP3/2N1BPP1/1P1R1Q1P/2R3K1 b - - 0 1,Bxe4,b7e4,086CBP
5rk1/pp4b1/3p4/1NpPq1Bp/P1n1P1bP/8/1PQ2NP1/R5K1 b - - 0 1,Bf3,g4f3,087CBP
r3r1k1/1p3pbp/1qp3p1/p2n4/3Nn3/P3P1P1/1PQB1PBP/2RR2K1 b - - 0 1,Nxf2,e4f2,088CBP
r1b2rk1/1pp1ppbp/4q1pB/8/1p6/3BQN2/1PP2PPP/2KR3R b - - 0 1,Bc3,g7c3,089CBP
1rb2r2/1p1n1pk1/2p1n1p1/p3P2p/2qP3R/2N3NP/PP1Q2B1/5RK1 w - - 0 1,Bd5,g2d5,090CBP
r4r2/ppp4k/2qpB1pp/7n/3Qn3/2BP4/PPP4P/5R1K w - - 0 1,Bg8+,e6g8,091CBP
rnbq1rk1/pp2bppp/5n1B/2pp4/8/2N2NQ1/PPP1PPPP/R3KB1R b KQ - 0 1,Nh5,f6h5,092CBP
7r/Bk3p2/3bpP2/3rn3/Rq6/1PR3P1/2Q2P1P/6K1 b - - 0 1,Nf3+,e5f3,093CBP
4rrk1/5bpp/3R1p2/2Q5/2p1N3/Pq2P3/6PP/5RK1 w - - 0 1,Rdxf6,d6f6,094CBP
6rk/4P1p1/1p5p/5Bb1/p1p1P3/1bB3qP/3Q2P1/R6K w - - 0 1,Bxg7+,c3g7,095CBP
b1r5/5k2/pR2p1p1/4B2p/2q2P2/4p2P/P2r2P1/4Q1RK w - - 0 1,Qh4,e1h4,096CBP
1r3rk1/p3p2p/3pbpp1/8/2P1NP2/1P2B1P1/PqQ3BP/b4RK1 w - - 0 1,Qb1,c2b1,097CBP
1kN4r/1P3p2/p2b1P2/4p3/1p2B3/1P2B1P1/2p1qP1P/R5K1 b - - 0 1,Bc5,d6c5,098CBP
r3kb1r/pp3ppp/1qp2n2/n2Pp3/Q1p1P3/2N5/PP1B1PPP/R3KB1R w KQkq - 0 1,Nd1,c3d1,099CBP
3r2k1/pp2R1bp/6p1/3q1p2/3PbBB1/7P/PP3PP1/4Q1K1 w - - 0 1,Bd1,g4d1,100CBP
3r1k2/2qbb1p1/p3ppr1/1p2p3/4P2Q/5B1P/PPPR1P2/1N1R3K w - - 0 1,Qh8+,h4h8,101CBP
2r3k1/4p2R/6p1/2q1P1Np/6nP/p2Q4/1PP3P1/1K6 b - - 0 1,a2+,a3a2,102CBP
r4kr1/1R2b1p1/p1n1pn2/4p2B/8/2N5/P1PB3P/4KR2 w - - 0 1,Rxf6+,f1f6,103CBP
2rr2k1/pb2bppp/1pq1pn2/4P1B1/8/2N5/PPB1QPPP/3RR1K1 w - - 0 1,Qf1,e2f1,104CBP
6k1/5p2/3p1Qp1/2qPn2p/1p2P3/pP5P/P4RPK/4rB2 w - - 0 1,g4,g2g4,105CBP
3r2k1/5p2/pp2p2p/7P/4BPpq/4BbN1/Pb3Q2/5RK1 b - - 0 1,Rd2,d8d2,106CBP
rnbr2k1/pp2qpp1/8/3p3Q/3N2p1/2R1P3/PP3P1P/4KBR1 w - - 0 1,Bd3,f1d3,107CBP
6rk/pp5p/3pN2b/3PPq2/3P4/2Q4P/PP2R2K/5B2 b - - 0 1,Bf4+,h6f4,108CBP
1r6/2q1k2p/1P3nr1/2p1bQ2/R1B5/4p2P/1P4P1/3R3K b - - 0 1,e2,e3e2,109CBP
r1bq1r1k/pp4pB/2p2p2/3p2N1/5Q2/2P4P/PPP2nP1/1K1R3R w - - 0 1,Nf7+,g5f7,110CBP
2r2k2/1r3Pb1/1q1p4/3Qp1N1/p3P3/7R/PPp5/K1R5 w - - 0 1,Rb3,h3b3,111CBP
8/r1p2pk1/1p1p4/r2Pb1p1/pQ2P1Pp/R3Bq1B/PPR2P2/6K1 w - - 0 1,Qe1,b4e1,112CBP
6k1/1b4b1/1q4p1/1P3p2/1r1p3Q/4r2P/NP1RN1P1/3R3K b - - 0 1,Bf6,g7f6,113CBP
r3k2r/5p2/3Qpp1p/p3n3/4P1P1/1Np1B3/q1P4P/2KRR3 w kq - 0 1,Rd5,d1d5,114CBP
3q1rk1/5p2/2p1pp1p/p2rR3/P2P4/2PQ2P1/5P1P/4R1K1 w - - 0 1,Rxe6,e5e6,115CBP
r1r1b1kb/p3pp1p/2np2pB/qp1N4/2n1PQN1/1B5P/PPP2PP1/R3R1K1 b - - 0 1,Qd8,a5d8,116CBP
1k1r1b1r/pp1n1p2/1qp3n1/1N3N2/PP5p/6P1/2Q1PPB1/R1R3K1 w - - 0 1,a5,a4a5,117CBP
3nk2r/2p2p1p/6p1/p3q3/1Q2P3/P1N2r2/1P3P1P/3RK2R w Kk - 0 1,Qa4+,b4a4,118CBP
3r1r1k/1pq4p/p1p3RQ/2p1n3/2BPPp2/2P2P2/1P5P/3R3K w - - 0 1,Rf6,g6f6,119CBP
r7/1Npb2rk/p5n1/P2Pp2q/1b2Ppp1/6P1/R1Q2B1P/3R1BK1 b - - 0 1,Nh4,g6h4,120CBP
1q1rr1k1/5p1p/p5p1/1p1N4/4P3/P4PnP/1P4PK/2RQR3 w - - 0 1,Nf6+,d5f6,121CBP
r2r2k1/pppq1pbn/6pp/2QNp3/2PnP1b1/1P3NP1/PB3PBP/R2R2K1 w - - 0 1,Nxe5,f3e5,122CBP
r3r1k1/pp1bqpp1/5n1B/7Q/2nN4/2P5/P1B3PP/2R2RK1 w - - 0 1,Rxf6,f1f6,123CBP
1k1N1r2/p2n2pp/1bR5/4P2q/6b1/1Q1p2P1/PP1B1P1P/4R1K1 b - - 0 1,Qxh2+,h5h2,124CBP
1k1r1r2/p2n1Npp/1bR5/4P2q/6b1/1Q1p2P1/PP1B1P1P/4R1K1 w - - 0 1,Nxd8,f7d8,125CBP
r1br2k1/1pp1npp1/p2q1n1p/3Np3/4P3/1BP2N1P/PP2QPP1/R3R1K1 w - - 0 1,Nf4,d5f4,126CBP
1n1q1r1k/4r1p1/pp2p1B1/3p2b1/2P1Q3/3R2P1/PP2PP1P/3R2K1 b - - 0 1,Qe8,d8e8,127CBP
2r2nk1/2r3p1/4p3/3pP1NQ/pp1q1PN1/8/P1p4P/5RRK b - - 0 1,Qxg1+,d4g1,128CBP
1r6/R4r1k/3pbPp1/1p1N3q/1Pp1PP2/4Q2p/7P/5R1K w - - 0 1,Rxf7+,a7f7,129CBP
1r1r2k1/3bbpp1/p3pn1p/3pN2N/qp1P4/3QP3/1P3PPP/1BR2RK1 w - - 0 1,Rc7,c1c7,130CBP
6k1/5p1p/ppqN4/2pbr1BQ/P4r2/7P/1P4P1/R2R2K1 b - - 0 1,h6,h7h6,131CBP
4N1k1/5p1p/ppqb4/2pbr1BQ/P4r2/7P/1P4P1/R2R2K1 w - - 0 1,Qh6,h5h6,132CBP
5rr1/pp2pb1k/2p1q2p/4Pp2/2P2P2/2PB2R1/P5QK/6R1 w - - 0 1,Rg7+,g3g7,133CBP
2kr4/pp1rppb1/1qp4p/2pnPPp1/8/3P1N1P/PPPBQ3/1K1R3R b - - 0 1,c4,c5c4,134CBP
r5k1/2qb1rp1/3pp2p/p6P/1p1NP1Q1/1P3P2/1PP5/2KR2R1 b - - 0 1,a4,a5a4,135CBP
8/4bQ1p/p5pk/1p5P/4N3/3pPP2/PPrR2K1/2q5 w - - 0 1,Qxe7,f7e7,136CBP
3r4/pk4qP/1b3p2/6p1/8/1P4PQ/6PK/3R4 b - - 0 1,Rxd1,d8d1,137CBP
2q3k1/pp3pp1/1n2r2p/B2p4/3Pn3/1Q1B3P/PP2RPP1/6K1 w - - 0 1,Bxb6,a5b6,138CBP
r2r2k1/6b1/2bP2Qp/8/8/p5B1/1PB2PqP/1K2R3 b - - 0 1,Bd5,c6d5,139CBP
r2q1rk1/ppb2pp1/2n3bp/6N1/2BPNB1n/2PQ3P/PP4P1/R4RK1 w - - 0 1,Bxc7,f4c7,140CBP
r4k2/pp5p/8/q2BQ3/P7/2p4P/1P4P1/6K1 w - - 0 1,Qf6+,e5f6,141CBP
4r1k1/1pq2pp1/p3r3/3p4/3Q3P/2P5/PP2BPK1/3RR3 w - - 0 1,h5,h4h5,142CBP
r3n3/1bqr1pb1/2p4k/1pP5/1P2Q3/7P/1B3PP1/2R1R1K1 w - - 0 1,Rc4,c1c4,143CBP
r1b2rk1/4bp1p/p3pnp1/q2n2NP/5B2/1BN1P3/1P3PP1/1QKR3R w - - 0 1,hxg6,h5g6,144CBP
2kr3r/1pp2pp1/p1p5/4Q3/3p2pq/2P5/PP1N1PP1/R1B1RK2 b - - 0 1,Qh1+,h4h1,145CBP
R4br1/1N1k1p2/2p1pq2/7p/1p1PP1pP/1PpB2B1/5PP1/6K1 w - - 0 1,e5,e4e5,146CBP
4b1rk/pp3Rb1/4p1Rp/3pq3/P7/2N5/1PP3P1/1K3Q2 w - - 0 1,Qh1,f1h1,147CBP
r5rk/ppqn2R1/2p4p/6B1/P2PP3/2P5/Q6P/5RK1 w - - 0 1,Rf6,f1f6,148CBP
2r1r1k1/p4qN1/1p3p2/3p1P1p/3P3Q/P6R/3n2PP/5RK1 b - - 0 1,Nxf1,d2f1,149CBP
5bk1/5ppp/7P/1p1pQ1P1/r3Pp2/2P2P2/q1P5/2KR3R b - - 0 1,d4,d5d4,150CBP
5bk1/5ppp/7P/1p2Q1P1/r2pPp2/2P2P2/q1P5/2KR3R w - - 0 1,Kd2,c1d2,151CBP
r2q1rk1/pb2bppp/1p2p3/6PQ/2P1p1N1/1n1PP3/1B3P1P/3K1BR1 b - - 0 1,exd3,e4d3,152CBP
r3r3/5ppk/p7/q1p1Q1B1/2pR2b1/P7/1PP3PP/1K5R w - - 0 1,Qd5,e5d5,153CBP
8/5pp1/p6k/5b2/3p4/P1p2Q2/1Pq3PP/K6R w - - 0 1,bxc3,b2c3,154CBP
1k1r3r/bp1n1p2/2B3n1/4qN1p/Pp6/1N4P1/2Q1PP2/1RR3K1 b - - 0 1,Ne7,g6e7,155CBP
r1b2rk1/pp4pp/q3pp2/n1n1N2Q/2p1P3/P1N3P1/1P3PBP/3R1RK1 w - - 0 1,Rd8,d1d8,156CBP
3q1r1k/6pp/pR5n/nbpNNp2/4P3/8/B3QPPP/6K1 w - - 0 1,Rxh6,b6h6,157CBP
2r3k1/pb2r1b1/1ppq2Qp/3pN3/1P1PnPP1/P3PRNP/8/5RK1 w - - 0 1,Nf5,g3f5,158CBP
5rk1/1p1QR2p/1q1p3r/p7/2P5/1P1p2P1/P5BP/7K w - - 0 1,Qg4+,d7g4,159CBP
5rk1/1p1QR2p/1q1p2r1/p7/2P5/1P1p2P1/P5BP/7K b - - 0 1,Qd4,b6d4,160CBP
r4b1k/p1q2r1p/1p2Q1p1/n1pnP3/7P/2Pb2P1/PP3PBK/R1B1RN2 b - - 0 1,Rxf2,f7f2,161CBP
5rk1/p5p1/b4p2/3P2p1/8/Q3N3/PBpNnqPP/R6K b - - 0 1,Re8,f8e8,162CBP
r3kb2/5p2/4bp2/q3p2N/3nP3/Pp2QP2/1P6/1KNR1B2 b q - 0 1,Bxa3,f8a3,163CBP
2k5/R1n2p2/8/1ppq1P1p/8/5P2/1P1r2rN/Q3R2K w - - 0 1,Nf1,h2f1,164CBP
2k5/R1n2p2/8/1ppq1Prp/8/5P2/1P1r2PN/Q3R2K b - - 0 1,Rgxg2,g5g2,165CBP
4k2r/1b1r1pp1/1q3n1p/1B2p3/Q2bP3/8/1P2NPPP/3R1RK1 b k - 0 1,Bxf2+,d4f2,166CBP
2b1r1kr/6p1/p5Pp/P1Nnq2P/1p2p3/8/1PP1Q1B1/1K1R4 w - - 0 1,Bxe4,g2e4,167CBP
3r1r2/1p4k1/p1p2q2/2P1b1p1/1PQ1RB2/5KP1/P4P2/7R w - - 0 1,Ke2,f3e2,168CBP
r4rk1/p2bnppp/8/q2NPp2/1p2n2P/5NR1/PPPQ2P1/1K1R1B2 w - - 0 1,Qh6,d2h6,169CBP
r4rk1/p2bnppp/8/q1nNPp2/1p5P/5NR1/PPPQ2P1/1K1R1B2 b - - 0 1,Nxd5,e7d5,170CBP
r2q1rk1/5p1p/p2p1bp1/4pn2/2B5/7R/1PPQ1PPP/2B2R1K w - - 0 1,g4,g2g4,171CBP
r6k/p6p/b3PP2/3p1p2/8/2P3R1/qPQ4P/2K5 b - - 0 1,d4,d5d4,172CBP
2r3k1/3bpp1p/3p1npQ/4qN2/rp1NP1P1/5P2/PP5P/1K1R2R1 b - - 0 1,Nxe4,f6e4,173CBP
rr4k1/2q1bp1p/b2p2p1/1p4Nn/p1nPP2N/2PB2p1/1P1BQ2P/R4RK1 w - - 0 1,Rxf7,f1f7,174CBP
3r1rk1/1bq1bppp/p3pn2/2p5/2P1NP2/1P1B1Q2/PB4PP/1R3RK1 b - - 0 1,Ne8,f6e8,175CBP
1rb2rk1/p2n1ppp/4pP2/q2pPnQ1/1p5P/2NB3R/PPP3P1/2KR4 b - - 0 1,h6,h7h6,176CBP
1rb2rk1/p2n1ppp/4pP2/q2pPnQ1/1p5P/2N4R/PPP3P1/2KR1B2 w - - 0 1,Bd3,f1d3,177CBP
r4r2/ppqn1pk1/3bp1p1/8/P2R4/2p2N2/1P3PPP/R1BQ2K1 b - - 0 1,c2,c3c2,178CBP
5r2/ppp3k1/2q2n2/8/3Q2p1/2B2b2/P7/2K1R1R1 w - - 0 1,Re3,e1e3,179CBP
5r2/ppp3k1/2q2n2/4R3/3Q2p1/2B2b2/P7/2K3R1 b - - 0 1,Rd8,f8d8,180CBP
2r1r1k1/5pPp/1p2p3/p2bP3/3Np1PQ/1PB1R3/PKP4P/5q2 b - - 0 1,a4,a5a4,181CBP
6k1/1q1b1ppp/3p4/Pp1Pp3/rBr1Q3/5N1P/5PP1/1R2R1K1 w - - 0 1,Qe3,e4e3,183CBP
6k1/5p2/6p1/1ppPPq2/6n1/1PQ3Pp/4R2P/r3N1K1 b - - 0 1,Rd1,a1d1,184CBP
r1b3k1/ppp1q1pp/2n1p3/3pP2P/8/2NB2Q1/PPP3P1/2K2R2 w - - 0 1,Bg6,d3g6,185CBP
4rnk1/1b5p/5Q2/3P1B2/8/2p3PP/1q3P2/3R2K1 w - - 0 1,Be6+,f5e6,186CBP
4q1k1/3b1pb1/p4np1/2BP4/2N4p/1rN2Q1P/1P1R2P1/4rRK1 b - - 0 1,Bb5,d7b5,187CBP
r1b1k2r/1p1p1ppp/2nB4/q3p3/2P1n3/1pNQ2P1/PP2PP1P/R3KB1R b KQkq - 0 1,Nxd6,e4d6,188CBP
3rk3/pp3p2/2p1b1nB/2Q1p2P/2P5/5P2/PPn1NKP1/1q3B1R b - - 0 1,Nf4,g6f4,189CBP
r2q3r/1p1bbQ2/4p1Bk/3pP3/1n1P1P2/pP4p1/Pn5P/R1B1R1K1 w - - 0 1,h4,h2h4,190CBP
r2qk2r/1p1bbp2/4p3/3pP1p1/1n1P1N1p/pP3N2/Pn2QPPP/RBB1R1K1 w kq - 0 1,Ng6,f4g6,191CBP
r2q1r1k/1pp3pn/p2p3p/n2N1b2/2BPN2b/7P/1PP2PP1/R1BQR1K1 w - - 0 1,Rxa5,a1a5,192CBP
3rr1k1/pq3pbp/N1p1p1p1/5b2/3B1Pn1/2P5/PP1Q2PP/R3RBK1 b - - 0 1,Rxd4,d8d4,193CBP
r4b1r/3b1k2/p1N1pp2/3p3P/6q1/1B6/PPPQ4/1K1RR3 w - - 0 1,Bxd5,b3d5,194CBP
