PuzzleId,Level,Solution,FEN,Moves
020CBP,Easy,,6k1/1b5p/pp1pPqp1/2p1r3/8/8/PPQ2PPP/3R1RK1 b - - 0 1,
021CBP,Easy,,r1bq1rk1/ppn3bp/2p1p1p1/3pN1Nn/P2P1P1P/3B4/1PP3P1/R1BQK2R w KQ - 0 1,
022CBP,Easy,,r2qkb1r/pp2nppp/3p4/2pNp1B1/2BnP1b1/3P1N2/PPP2PPP/R2QK2R w KQkq - 0 1,
023CBP,Easy,,r1bq2rk/5p1p/2np1PpQ/pnp1p3/1p2P2N/2PP2P1/PP4BP/R2N1RK1 w - - 0 1,
024CBP,Easy,,r1bn1rk1/ppp1q1pp/1b1p1n2/3Pp1B1/4N2N/2P4P/PP2BPP1/R2QK2R b KQ - 0 1,
025CBP,Easy,,rnbqk1nr/ppp2ppp/3b4/8/8/2N5/PPPPP1PP/R1BQKBNR b KQkq - 0 1,
026CBP,Easy,,r1bqk2r/pppp1ppp/1bn2n2/8/2BPP3/5N2/PP3PPP/RNBQK2R w KQkq - 0 1,
027CBP,Easy,,r2qk2r/pp1nbppp/5n2/1BpPp1B1/4P3/2N2Q2/PPP3PP/R3K2R w KQkq - 0 1,
028CBP,Easy,,r3k1nr/pppq1ppp/1b2b3/n7/3P4/B1NB1N2/P4PPP/R2Q1RK1 w kq - 0 1,
029CBP,Easy,,rnb1k2r/ppp2p1p/3p4/8/3PqB2/8/PPP2KP1/R2Q1B1R w kq - 0 1,
030CBP,Easy,,r2qkb1r/5p1p/p1np4/1p1Npb2/8/N4Q2/PPP2PPP/R3KB1R b KQkq - 0 1,
031CBP,Easy,,r5k1/1b2qpbp/3p4/1B2p3/1N6/2P2P2/1P4PP/3QK2R b K - 0 1,
032CBP,Easy,,r2qk2r/2nbpp1p/p2p1bp1/2pP4/P1p5/2N5/1PP1BPPP/R1BQ1RK1 w kq - 0 1,
033CBP,Easy,,rn2kb1r/p3qppp/2p2n2/1p2p1B1/2B1P3/1QN5/PPP2PPP/R3K2R w KQkq - 0 1,
034CBP,Easy,,r1b1qrk1/p2n2pp/1ppbpn2/3p1p2/2PP4/3N1NP1/PPQ1PPBP/R1B2RK1 w - - 0 1,
035CBP,Easy,,r1b1k2r/pp2qppp/2np1n2/2pPp3/2P5/P1PBPN2/2Q2PPP/R1B1K2R b KQkq - 0 1,
036CBP,Easy,,rnb2k1r/pppp1ppp/5n2/8/5N1q/2P2B2/PPP1QP1P/R1B1K2R w KQ - 0 1,
037CBP,Easy,,8/8/8/1p6/8/1Pk5/8/1K6 w - - 0 1,
038CBP,Easy,,8/8/8/3kp3/8/8/8/3K4 w - - 0 1,
039CBP,Easy,,5k2/8/8/8/1P6/8/8/3K4 w - - 0 1,
040CBP,Easy,,8/7p/4K2P/8/5k2/8/8/8 w - - 0 1,
041CBP,Easy,,8/8/8/1k6/8/K7/6P1/8 w - - 0 1,
042CBP,Easy,,k7/8/1p6/8/1P6/5K2/8/8 w - - 0 1,
043CBP,Easy,,8/7p/8/4kpPP/8/8/8/5K2 w - - 0 1,
044CBP,Easy,,8/8/3p4/k7/P1P5/p7/2K5/8 w - - 0 1,
045CBP,Easy,,8/8/3p4/2k5/4P3/8/8/1K6 w - - 0 1,
046CBP,Easy,,8/7k/5Pp1/8/5K2/8/8/8 w - - 0 1,
047CBP,Easy,,1k6/1p1K4/1P6/2P5/8/8/8/8 w - - 0 1,
048CBP,Easy,,8/8/8/7p/2K5/8/6kP/8 w - - 0 1,
049CBP,Easy,,3r1n1k/3P3p/pp3q2/2pQp3/P1P3B1/3b2R1/1P5P/6K1 w - - 0 1,
050CBP,Easy,,r4rk1/8/p5n1/1p3b2/2q5/P1N1B1Q1/1PPR2PP/5RK1 b - - 0 1,
051CBP,Easy,,r4nkr/p3b2p/1pp1p1qB/5Q2/2BP4/2P3P1/P4P1P/4R1K1 w - - 0 1,
052CBP,Easy,,6r1/p4rkp/3RQ1n1/1pp1p1B1/2p1P3/2P3R1/P4qPK/8 w - - 0 1,
053CBP,Easy,,rnb1k2r/pp2ppbp/2p5/3Q4/8/5N2/P1qB1PPP/3RKB1R w Kkq - 0 1,
054CBP,Easy,,r2r2k1/5p2/3p2p1/1N2p1q1/2P2n1p/4N1n1/5RPP/3RQBK1 b - - 0 1,
055CBP,Easy,,r1b2r1k/pp3p1p/2n2NpB/q2pQ3/8/7P/PPP3P1/2K4R w - - 0 1,
056CBP,Easy,,rnb1kb1r/pp3ppp/2p5/4q3/4n3/3Q4/PPPB1PPP/2KR1BNR w kq - 0 1,
057CBP,Easy,,r1b1k2r/ppp3pp/1qp5/2b1Pp2/3Qn3/5N2/PPPBNPPP/3RK2R w Kkq - 0 1,
058CBP,Easy,,3rk2r/pp3p1p/6n1/2Qnp3/8/P1Pq4/R3NPPP/2B1K2R b Kk - 0 1,
059CBP,Easy,,r2q1rk1/pb3pbp/np4pQ/3p4/1P1N4/P2BP3/1B3PPP/R3K2R w KQ - 0 1,
060CBP,Easy,,3r3k/6p1/3b4/2pb2qp/8/1P2Pr1P/PB1pQPP1/R2N1NK1 b - - 0 1,
061CBP,Easy,,8/4bkp1/8/2r2p2/Kp4p1/1P1Q4/8/8 w - - 0 1,
062CBP,Easy,,2r5/p3qrk1/4pp1p/np1p2p1/2pP2NP/1PP2NP1/P4P2/R1BQ2K1 w - - 0 1,
063CBP,Easy,,7k/p1p2r1p/bpn1ppRQ/8/3P4/q1P1PP2/P1PK3P/R7 b - - 0 1,
064CBP,Easy,,r2q1r2/p4pkp/1p2p1p1/2p3N1/2BP4/2N1P3/PP4PP/3R1RK1 w - - 0 1,
065CBP,Easy,,8/8/8/1Q6/5pkp/4pr2/8/6K1 w - - 0 1,
066CBP,Easy,,8/8/5Nb1/3p4/3k4/3P4/2PK4/8 w - - 0 1,
067CBP,Easy,,7r/P1pq4/2p5/1k5p/5p2/3P1P2/Q5PK/8 w - - 0 1,
068CBP,Easy,,8/8/8/8/7p/1b3N1P/8/Qqk3K1 w - - 0 1,
069CBP,Easy,,k2r4/1p5q/p1n5/4p3/2Q5/P3P1P1/1P3PP1/2R1K3 b - - 0 1,
070CBP,Easy,,6k1/2p3pp/p7/1p1q4/3N4/1P2K3/PB1N2PP/8 b - - 0 1,
071CBP,Easy,,8/2K1nk2/7P/5P2/8/8/8/8 w - - 0 1,
072CBP,Easy,,8/p2p2k1/3P2pp/2PN1p2/r4P1P/2K5/6P1/8 w - - 0 1,
073CBP,Easy,,1r4k1/3nppbp/p2p2p1/q7/2b5/2N3P1/P2QPPBP/2RR2K1 w - - 0 1,
074CBP,Easy,,3kr1r1/ppp2p1p/2bp4/2nNPB2/2P2P2/1P6/P1QB1qPP/R6K w - - 0 1,
075CBP,Easy,,8/2p1kp2/1p6/2r5/4r1PK/P2R3P/4n3/4Q3 b - - 0 1,
076CBP,Easy,,r3k2r/pp1n1ppp/2p1b3/3pP3/3P1N2/q2BQ3/P1P3PP/R4RK1 w kq - 0 1,
077CBP,Easy,,3rn2k/ppb2rpp/2ppqp2/5N2/2P1P3/1P5Q/PB3PPP/3RR1K1 w - - 0 1,
078CBP,Easy,,r1b2rk1/ppp2ppp/1b1p1q2/3P4/BPPp4/8/PB1PQPPP/R4RK1 b - - 0 1,
079CBP,Easy,,r1b2rk1/2q2ppp/p1pppn2/8/Q1P5/B1PB4/P4PPP/R2R2K1 w - - 0 1,
080CBP,Easy,,Q1bk4/p4p2/6r1/3p4/8/2P5/2PK1P1P/R4B1q w - - 0 1,
081CBP,Easy,,4r1k1/pb4p1/1pq2nQp/8/2PB1P1R/3R4/P5PP/6K1 b - - 0 1,
082CBP,Easy,,r4rk1/ppqn1pbp/2n1b1p1/3pN3/N2P1B2/P7/1P2BPPP/R2Q1RK1 w - - 0 1,
083CBP,Easy,,2rr2k1/1b3ppp/ppqppb2/2n5/2P1P1Q1/1PN3P1/PB3PBP/3RR1K1 w - - 0 1,
084CBP,Easy,,3r1q1k/p5b1/1r3p1p/1ppBpQpP/4P3/2P3P1/PP1R1PK1/3R4 w - - 0 1,
085CBP,Easy,,5r1k/pp2b1rp/8/6q1/3QR3/2pN4/P1P2RP1/6K1 w - - 0 1,
086CBP,Easy,,1k1r3r/pp2b1p1/1q2p1p1/3pP3/bP6/8/P1NQ1PPP/R1B2RK1 w - - 0 1,
087CBP,Easy,,r1b1kb1r/4p2p/pqp1pnp1/3pB3/3N4/5N2/PPP2PPP/R2Q1RK1 w kq - 0 1,
088CBP,Easy,,r2q1rk1/pb1nbppp/1pp3n1/3pN3/3P4/2NBP1B1/PP3PPP/R2Q1RK1 w - - 0 1,
089CBP,Easy,,4rbk1/1R3pp1/2Q5/6p1/3rn3/q2N2P1/5PBP/5RK1 b - - 0 1,
090CBP,Easy,,1n1r1rk1/R5p1/5q1p/4p3/8/4P1P1/4Q1BP/R5K1 w - - 0 1,
091CBP,Easy,,r2b1rk1/2pn3p/1p1pq3/5pp1/1PP5/4NPP1/2Q1PB1P/2RR2K1 w - - 0 1,
092CBP,Easy,,R2b4/2pr1q1k/1p1p2n1/1P1N1p1p/2P2Pp1/2Q3P1/1B2P2P/6K1 w - - 0 1,
093CBP,Easy,,2rq1rk1/4bppp/pn1p4/1p2p1P1/4P2P/2N1BP1R/PPPQ4/1K1R4 w - - 0 1,
094CBP,Easy,,2kr1b1r/pp3pp1/2p1pn1p/8/2PPnq1P/2B2NN1/PPQ2PP1/1K1R3R w - - 0 1,
095CBP,Easy,,3r3r/kpp3pp/p1pqbpn1/2N5/Q2PP3/5NPP/PP4P1/2R2RK1 w - - 0 1,
096CBP,Easy,,r3k3/1b4pp/p3B3/2b1p1B1/2p5/3q4/P5PP/4QR1K b q - 0 1,
097CBP,Easy,,7Q/1b5P/8/8/6R1/8/8/K6k w - - 0 1,
098CBP,Easy,,8/8/3B4/8/8/3Pk1p1/2K3Q1/8 w - - 0 1,
099CBP,Easy,,8/8/8/8/8/2N1p1K1/6B1/2B1r1k1 w - - 0 1,
100CBP,Easy,,8/8/8/8/8/5K2/1QBk4/8 w - - 0 1,
101CBP,Easy,,B1n5/5RK1/4k3/4p3/8/8/8/3R4 w - - 0 1,
102CBP,Easy,,2nR4/Q3b3/8/1Pppk3/8/2P2K1B/8/8 w - - 0 1,
103CBP,Easy,,k7/P7/1P1NpP2/1p2q3/4NR2/5B2/4K3/8 w - - 0 1,
104CBP,Easy,,br1n4/BkP2n2/2R5/3R4/8/K2B4/8/8 w - - 0 1,
105CBP,Easy,,5Q2/3N4/2K1k2r/7b/4P3/8/8/8 w - - 0 1,
106CBP,Easy,,4Q3/8/8/6rR/4N1k1/4K1p1/8/8 w - - 0 1,
107CBP,Easy,,5Q2/5B1k/6r1/6p1/6N1/6K1/8/8 w - - 0 1,
108CBP,Easy,,2K4Q/8/2N5/1k6/3B4/8/P5P1/8 w - - 0 1,
109CBP,Easy,,8/3k2p1/8/5P2/8/8/8/1K6 w - - 0 1,
110CBP,Easy,,8/5p2/8/6Pk/5P2/8/8/7K w - - 0 1,
111CBP,Easy,,8/5k2/3p4/3P4/2P5/6K1/8/8 w - - 0 1,
112CBP,Easy,,8/6k1/3K1p2/4p1p1/4P1P1/5P2/8/8 b - - 0 1,
113CBP,Easy,,8/3k4/6p1/5pPp/3K1P1P/8/8/8 w - - 0 1,
114CBP,Easy,,8/2K3k1/6p1/5p1p/5P1P/6P1/8/8 w - - 0 1,
115CBP,Easy,,8/3k4/4p3/4K3/3P1P2/8/8/8 w - - 0 1,
116CBP,Easy,,8/8/5Kpk/5p2/5P2/6P1/8/8 b - - 0 1,
117CBP,Easy,,8/8/8/1p6/1Pk5/1p6/1K6/8 w - - 0 1,
118CBP,Easy,,5k2/8/3P4/8/6K1/8/8/8 w - - 0 1,
119CBP,Easy,,8/8/8/3p2k1/6q1/3R4/8/7K w - - 0 1,
120CBP,Easy,,8/k1K5/p7/8/1P6/8/8/8 b - - 0 1,
121CBP,Easy,,4r1k1/pp1q1ppp/2p1rnn1/8/2PP4/P2QPR2/6PP/1N2BRK1 b - - 0 1,
122CBP,Easy,,8/8/3r4/4k3/1B1r4/4K3/8/8 w - - 0 1,
123CBP,Easy,,2r3k1/5ppp/4p3/5q2/8/Pp1Q4/1P4PP/1K1R4 b - - 0 1,
124CBP,Easy,,7b/8/8/3k4/3q4/2R5/K2P4/8 w - - 0 1,
125CBP,Easy,,4r3/1p4pk/2b2pq1/7p/3B1P2/7P/4RQP1/7K b - - 0 1,
126CBP,Easy,,3q3k/5p1p/3B4/8/1p6/6Q1/1K6/8 w - - 0 1,
127CBP,Easy,,8/5B2/6r1/7k/8/3pB2K/8/8 w - - 0 1,
128CBP,Easy,,2r5/pp1bkp2/3q1p2/3Pp3/7Q/1B6/P1P3PP/1K3R2 w - - 0 1,
129CBP,Easy,,4r1k1/8/3R1Qpp/2p5/2P1p1q1/P3P3/1P2PK2/8 b - - 0 1,
130CBP,Easy,,r1b2rk1/pp2ppbp/6p1/q7/1n1PP3/5N2/P1R1BPPP/2BQ1RK1 w - - 0 1,
131CBP,Easy,,r3r1k1/ppp2ppp/3b4/3p1q2/1n1P1N2/1Q2B3/PPP2PPP/2R1R1K1 b - - 0 1,
132CBP,Easy,,2r3k1/q5pp/4p3/2rp1p2/1p1B1P2/1P1QP3/P1R3PP/6K1 w - - 0 1,
133CBP,Easy,,4B1k1/5p1p/5pp1/p2Pn3/3QP3/7P/5PPK/1q6 b - - 0 1,
134CBP,Easy,,8/B3kppp/4p3/3nP3/4RPK1/P1r5/7P/8 b - - 0 1,
135CBP,Easy,,6k1/p4p2/1p1bq1p1/2p5/4n3/2BQ2PP/PP1N1PK1/8 b - - 0 1,
136CBP,Easy,,1n1q2k1/5p1p/1p4p1/1B1PN3/2QP1r2/r7/P4PP1/5RK1 w - - 0 1,
137CBP,Easy,,r1b1r1k1/pp2qppp/2n2n2/4p1B1/2Pp4/P3PN2/1PQ1BPPP/3RK2R b K - 0 1,
138CBP,Easy,,5rk1/6pp/8/p1qp1N2/1p4n1/1P4P1/P3P2P/3Q1R1K w - - 0 1,
139CBP,Easy,,8/1P3k2/1r5p/N3pp1p/P6P/3K4/5PP1/8 w - - 0 1,
140CBP,Easy,,3R4/pp3pkp/2p1rpq1/5b2/8/2Q3N1/PPP3PP/6K1 w - - 0 1,
141CBP,Easy,,6k1/1b4pp/1B3p2/4p3/1Pr5/5P2/5QPP/r4BK1 w - - 0 1,
142CBP,Easy,,1n6/2qb1kp1/1p2pp1p/1P1p4/1Q1P1N2/4P1PB/5P1P/6K1 w - - 0 1,
143CBP,Easy,,r1bq1rk1/p1p1bppp/1p2pn2/6B1/3P4/3B1N2/PPP1QPPP/R3K2R w KQ - 0 1,
144CBP,Easy,,6k1/5r1p/p2N4/nppP2q1/2P5/1P2N3/PQ5P/7K w - - 0 1,
145CBP,Easy,,8/2pb1p2/r2k2pp/8/1P1K1P2/P3R2P/4N1P1/8 w - - 0 1,
146CBP,Easy,,8/8/6p1/pp1k1p1p/3p3P/1P4P1/P1R1KP2/3r4 b - - 0 1,
147CBP,Easy,,7k/6p1/7p/4RN1r/5K2/6P1/8/8 w - - 0 1,
148CBP,Easy,,3r3k/7p/1pr2b2/p2p4/8/P6Q/1P5P/5R1K w - - 0 1,
149CBP,Easy,,7k/1b5p/2q3p1/5p2/2P4P/8/1P3Q2/2R3K1 w - - 0 1,
150CBP,Easy,,r5b1/8/2k3pp/1N3p2/1K3P2/P3R2P/6P1/8 w - - 0 1,
151CBP,Easy,,8/k1q2p1p/8/1QN5/8/8/P4PPP/4b1K1 w - - 0 1,
152CBP,Easy,,8/5p2/4p1p1/3nP1Nk/pr3P2/R2K2P1/8/8 b - - 0 1,
153CBP,Easy,,8/5Rbk/4p3/3pP2P/1P5p/3r4/3n4/6RK b - - 0 1,
154CBP,Easy,,4Q3/4p1k1/4Pb2/5Pp1/8/5qNK/5P2/8 w - - 0 1,
155CBP,Easy,,4b1k1/1p3p1p/2r1pp2/p7/1P6/P7/B1n2PPP/2R1R1K1 w - - 0 1,
156CBP,Easy,,8/8/8/8/1R1P4/2P2kb1/7r/6K1 b - - 0 1,
157CBP,Easy,,3q1rk1/3r1p1p/1p2p1pQ/2p1P3/2P1b3/4P3/1B3PPP/R2R2K1 w - - 0 1,
158CBP,Easy,,rnbqrnk1/5p2/p2p1bp1/2pPp3/Q1P1P3/P4NPP/3B4/1R1NRBK1 w - - 0 1,
159CBP,Easy,,2r2rk1/p3bppp/bq2pn2/3p4/1p1P4/4P1P1/PP1N1P1P/R1BQRBK1 b - - 0 1,
160CBP,Easy,,r1b2rk1/1p1nqpp1/p3p2p/7n/P1B5/2N1PN2/1P2QPPP/R2R2K1 w - - 0 1,
161CBP,Easy,,3k2rr/1bq2pp1/pn1b4/2pPpPP1/1pP1P1B1/4B3/P2N1K2/2R3QR w - - 0 1,
162CBP,Easy,,r3n1k1/5ppp/1p2p3/p7/1Pr1P3/2P2P2/1B4PP/R2R1K2 w - - 0 1,
163CBP,Easy,,1r4k1/p4pp1/3q1n1p/2pp1B2/8/1P4P1/P1P2PP1/1R2Q1K1 b - - 0 1,
164CBP,Easy,,3qr3/r2n1pk1/p2p2p1/2pPp1P1/b1P1P3/P4QPB/1R3N2/1R4K1 w - - 0 1,
165CBP,Easy,,r1rq1bk1/1n1b1p1p/3p1np1/1p1Pp3/1Pp1P3/2P1BNNP/R2Q1PP1/1B2R1K1 w - - 0 1,
166CBP,Easy,,2rq1rk1/pb1n1p1p/1p2pbp1/8/3PPB2/3B1N2/P3QPPP/2RR2K1 w - - 0 1,
167CBP,Easy,,3r2k1/p1Rn1pbp/Qp1Bp1p1/4P3/3q4/8/P2N1PPP/6K1 w - - 0 1,
168CBP,Easy,,r1r1nb2/p4pk1/1p1p1qp1/1P1Pp2p/PQ2P3/4N1P1/4BP1P/R1R3K1 w - - 0 1,
169CBP,Easy,,8/p5kp/1p3p2/6p1/8/1P3QPK/P2N4/6q1 b - - 0 1,
170CBP,Easy,,6k1/pr3ppp/1p3qn1/5NQ1/2p5/8/P4PPP/4R1K1 w - - 0 1,
171CBP,Easy,,2k1r3/2p2pp1/1n6/N1q3Pp/Pn6/4B3/4QP1P/1K1R4 w - - 0 1,
172CBP,Easy,,k5r1/p4b2/2P5/5p2/3P1P2/4QBrq/P5P1/4R1K1 w - - 0 1,
173CBP,Easy,,2k2r2/2p5/1pq5/p1p1n3/P1P4B/1R4Pp/2Q1R3/6K1 b - - 0 1,
174CBP,Easy,,6k1/ppp3pp/8/8/8/2Nqn1QP/PP4PK/5r1R b - - 0 1,
175CBP,Easy,,8/4bk1p/pQ4p1/1N1pB3/5PP1/4P1KP/2q5/8 b - - 0 1,
176CBP,Easy,,6nr/pQ4pp/2Bk4/2b5/3r1pbq/2N5/PPP3PP/R1B2K1R b - - 0 1,
177CBP,Easy,,5b1k/6np/pq1p2p1/1pr1p3/4P1N1/PQ1P4/1P4PP/2R3K1 w - - 0 1,
178CBP,Easy,,2r1r3/1b1n2kp/1p2q1pN/p7/P1pPp1PB/2P1P2P/2Q5/2R2RK1 w - - 0 1,
179CBP,Easy,,4r1k1/5ppn/6q1/pp2pN2/4P3/P6Q/1PP2P2/4K2R w K - 0 1,
180CBP,Easy,,1k1q1b2/pp4p1/8/Q4b2/7r/4Pn2/PP1B1P1P/2RK3R b - - 0 1,
181CBP,Easy,,8/4K3/8/8/3Q4/8/1pk5/8 w - - 0 1,
182CBP,Easy,,6K1/7P/6q1/8/8/8/8/1k6 w - - 0 1,
183CBP,Easy,,1K6/2P5/1q6/8/4k3/8/8/8 w - - 0 1,
184CBP,Easy,,6K1/8/8/8/2Q5/7p/p7/1k6 w - - 0 1,
185CBP,Easy,,8/8/8/5K2/8/8/Q1p5/3k4 w - - 0 1,
186CBP,Easy,,8/8/8/3QK3/8/2k5/2p5/8 w - - 0 1,
187CBP,Easy,,8/8/8/8/3K4/8/1kp1Q3/8 b - - 0 1,
188CBP,Easy,,8/8/8/3QK3/8/4k3/2p5/8 w - - 0 1,
189CBP,Easy,,8/8/8/4K3/8/8/Q1pk4/8 b - - 0 1,
190CBP,Easy,,8/5K2/8/p7/P7/2Q5/kp6/8 w - - 0 1,
191CBP,Easy,,8/8/8/1K6/8/Q7/p7/1k6 w - - 0 1,
192CBP,Easy,,8/3K4/2P5/8/8/5k2/8/3q4 w - - 0 1,
193CBP,Easy,,6K1/3nkP2/8/5P2/8/2b5/8/8 w - - 0 1,
194CBP,Easy,,5k2/3B2bK/6P1/4n3/8/6P1/8/8 w - - 0 1,
195CBP,Easy,,6bB/3P4/5K2/7k/8/8/8/7q w - - 0 1,
196CBP,Easy,,8/r4KP1/6Pk/8/8/8/8/8 w - - 0 1,
197CBP,Easy,,8/8/3p4/7p/6pP/6K1/4P3/7k w - - 0 1,
198CBP,Easy,,8/R4p2/3K3k/4PPp1/6P1/8/8/4r3 b - - 0 1,
199CBP,Easy,,1k6/2q2p2/1Q3p2/KP3P1p/P6P/8/8/8 b - - 0 1,
200CBP,Easy,,1R6/4Q1pk/2p5/5p1p/4pPqP/8/3r4/1R5K w - - 0 1,
201CBP,Easy,,2Q5/8/p3R3/P5pP/3p2P1/3k4/3q4/6K1 b - - 0 1,
202CBP,Easy,,8/4R3/8/3k1p2/3np3/4K3/r5B1/8 w - - 0 1,
203CBP,Easy,,6k1/8/2q1n3/2p1BK1Q/p1Pp4/P2P4/1P6/8 b - - 0 1,
204CBP,Easy,,8/8/2PQ4/4p2k/4P1qP/4Bp1n/8/5B1K b - - 0 1,
205CBP,Easy,,5rk1/1b3p1p/pp3p2/3n1N2/1P6/P1qB1PP1/3Q3P/4R1K1 w - - 0 1,
206CBP,Easy,,2r1nrk1/p4p1p/1p2p1pQ/nPqbRN2/8/P2B4/1BP2PPP/3R2K1 w - - 0 1,
207CBP,Easy,,1k1q1Q1r/1pp1n1pp/1P6/4p3/3p4/7P/6P1/R4RK1 w - - 0 1,
208CBP,Easy,,4rr2/1ppb2k1/2q3p1/p7/3n4/1BP1B3/PP3PP1/2K4Q w - - 0 1,
209CBP,Easy,,r3r1kb/5p1p/p1q3pB/1p1bP3/4N2Q/5N1P/PP3PP1/3R2K1 w - - 0 1,
210CBP,Easy,,r5k1/pppb1rpp/3p4/3P3q/3QN3/5P2/PB3P1P/R5RK b - - 0 1,
211CBP,Easy,,1q4r1/p5pk/1p2r2p/3pNp1P/P2P4/1P4Q1/2P5/K5R1 w - - 0 1,
212CBP,Easy,,8/5k2/4N3/8/8/2p2p1p/7P/7K w - - 0 1,
213CBP,Easy,,8/8/8/p2Pkp2/2K5/8/8/8 w - - 0 1,
214CBP,Easy,,r1b1Q3/1p4pk/p3pr1p/8/P3pPB1/2b4R/1qP4P/6RK w - - 0 1,
215CBP,Easy,,7k/1p3p2/1p4pp/r3P3/PQ4P1/3B1b1K/1P5P/6q1 w - - 0 1,
216CBP,Easy,,1n1r1r1k/4qp1p/p3p1pb/2p1Pn2/2P3NN/2B3P1/P1Q2PBP/4R1K1 w - - 0 1,
217CBP,Easy,,6k1/1p3p2/p2prPq1/8/7p/2Q5/PP3RP1/6K1 w - - 0 1,
218CBP,Easy,,4r2k/8/p6p/2P5/PR6/3N1p2/1p5P/1n5K b - - 0 1,
219CBP,Easy,,1r3k2/3p1ppp/RP2p3/8/1PR5/6P1/3rPP1P/6K1 w - - 0 1,
220CBP,Easy,,2r2rk1/p1N2p1p/2P1p1p1/1Pp3q1/3b4/5Q2/P1P3PP/4RR1K w - - 0 1,
221CBP,Easy,,7r/1pR5/6k1/3p4/p5n1/4P1p1/PPP3P1/5RK1 b - - 0 1,
222CBP,Easy,,8/2n5/3p4/2kPp3/4Pp2/N1K2Pp1/6P1/8 b - - 0 1,
223CBP,Easy,,1n6/R7/P1r2pk1/7p/8/5P2/7P/6K1 w - - 0 1,
224CBP,Easy,,6k1/5pp1/8/B2n4/5P2/P4QPp/4K3/7q b - - 0 1,
225CBP,Easy,,rkb4r/4Rp1p/p1PR1p1b/8/8/5N2/P4PPP/6K1 w - - 0 1,
226CBP,Easy,,8/8/3K1k2/5p1p/4p1p1/4P1P1/5PP1/8 b - - 0 1,
227CBP,Easy,,8/2k5/6p1/3P1q2/6Bp/7P/5PN1/4K3 b - - 0 1,
228CBP,Easy,,5rk1/p5pp/8/8/2Pbp3/1P4P1/7P/4RN1K b - - 0 1,
229CBP,Easy,,3k4/1b1nppbp/pp4p1/3N4/P1BPP1P1/3KB3/5P1P/8 w - - 0 1,
230CBP,Easy,,r5k1/pppb3p/2nqp1p1/1B1p4/3P1r2/2P2N1P/PP2QPPK/R4R2 w - - 0 1,
231CBP,Easy,,r2r2k1/1q1nbppp/pp1pbn2/4p3/P3P3/2N1BP2/1PPQB1PP/R1NR2K1 w - - 0 1,
232CBP,Easy,,r1b1r1k1/1pqn1pbp/p1p2np1/4p3/2P1P3/1NN1BP2/PP1Q2PP/1K1R1B1R w - - 0 1,
233CBP,Easy,,r2qr1k1/p3np1p/4bBp1/2pp4/7Q/2PB4/P1P2PPP/4RRK1 w - - 0 1,
234CBP,Easy,,6k1/2q2pp1/2p2n1p/p3p3/1pN1P3/1P1Q1P2/P1P3PP/6K1 w - - 0 1,
