PuzzleId,Level,Solution,FEN,Moves
018SBP,Medium,,r2q1rk1/pp2bppp/4pn2/3nN3/3P4/1B6/PP2QPPP/R1B1R1K1 w - - 0 1,
019SBP,Medium,,1r1q1rk1/4npp1/5b1p/p2p4/Q2P4/4P3/4BPPP/1NR2RK1 b - - 0 1,
020SBP,Medium,,5r2/2pq2kn/1ppp3p/r4Pp1/2Q5/6BP/PPP2PP1/R4RK1 w - - 0 1,
021SBP,Medium,,1n1rn1k1/p4pp1/1p2pq1p/4N3/1BQPPP2/P6P/6P1/4R1K1 w - - 0 1,
022SBP,Medium,,r2r2k1/p3ppbp/Bpn3pB/q1p5/3PP3/2P5/P2QNPPP/2RR2K1 b - - 0 1,
023SBP,Medium,,1Q2n3/1b1qn2k/3p3p/2pPp1pP/1pP1P1P1/1P2BBN1/6K1/8 w - - 0 1,
024SBP,Medium,,r4rk1/pp4pp/2bppn2/2n2p1q/2P5/P2P1NP1/1B2PPBP/1R1Q1RK1 w - - 0 1,
025SBP,Medium,,3r2k1/1b1r1pp1/p1n1qn1p/2pp4/5Q2/P1N1PNPP/1P1R1PBK/3R4 b - - 0 1,
026SBP,Medium,,r1r3k1/pp2pp1p/1q1p1np1/8/2P5/1P3BP1/PQ2PP1P/R2R2K1 w - - 0 1,
027SBP,Medium,,r4rk1/p1pn1ppp/2p1pq2/8/3P4/8/PPPQ1PPP/2KR1B1R w - - 0 1,
028SBP,Medium,,r3kb1r/5qpp/bp2p3/p1p1Pp2/P6Q/1P2BN2/2P2PPP/3RR1K1 w kq - 0 1,
029SBP,Medium,,4r1k1/1pr2pp1/pQn4p/3Rp1q1/1P2P3/P3PB1P/6P1/2R3K1 w - - 0 1,
030SBP,Medium,,r1r2nk1/3q2p1/1p2pp1p/pb1p4/3P1N2/Q1R1P1NP/PP3PP1/2R3K1 w - - 0 1,
031SBP,Medium,,r2r4/2p2kp1/ppnb3p/8/P3q3/5N2/1P2BPPP/R1RQ2K1 w - - 0 1,
032SBP,Medium,,r2q1rk1/3n3p/3p1bp1/2pPpp2/p1P5/2B2P2/PPB1Q1PP/3R1RK1 b - - 0 1,
033SBP,Medium,,r1bq1rk1/3n1ppp/p2b1n2/1ppPp3/4P3/1PNB1N2/P4PPP/R1BQ1RK1 w - - 0 1,
034SBP,Medium,,r4rk1/1pqb1ppp/p3p1n1/8/4P3/1BP1B1P1/P3QP1P/R2R2K1 w - - 0 1,
035SBP,Medium,,r3r1k1/pp3ppp/1qn5/3pb3/7B/1NP5/PP2RPPP/R2Q2K1 b - - 0 1,
036SBP,Medium,,2b1r1k1/r2n1p1p/6p1/q3P3/p1pP1P2/PpP2Q2/1B4PP/RB3RK1 b - - 0 1,
037SBP,Medium,,2r1r1k1/1bqnbpp1/pp1p1n2/4pP2/P3P1P1/1NN1BB2/1PP1Q3/3R1RK1 b - - 0 1,
038SBP,Medium,,2r2rk1/1b3pp1/pp1q1n1p/P2pNQ2/2PP4/1PN5/6PP/2RR2K1 b - - 0 1,
039SBP,Medium,,3r1rk1/pp2bpp1/4pn1p/q2nN3/3P3B/1B6/PP2QPPP/3R1RK1 w - - 0 1,
040SBP,Medium,,5rk1/r1qbbpp1/3p1n1p/nppPp3/4P2N/1PP3N1/2BB1PPP/R2QR1K1 b - - 0 1,
041SBP,Medium,,r4rk1/p2bq1pp/1ppp1n2/n3p1B1/P1PPP3/2PBN3/4QRPP/5RK1 w - - 0 1,
042SBP,Medium,,r2q1rk1/pb1nbpp1/1p3n1p/2pp4/3P3B/2N1PN2/PPQ1BPPP/2R2RK1 b - - 0 1,
043SBP,Medium,,r1bq1rk1/p3b2p/1pp3p1/2npPp2/5P2/1PN1P3/PBB3PP/R2Q1RK1 w - - 0 1,
044SBP,Medium,,r3rbk1/1bqn1pp1/p4n1p/2p1p3/PpP1P3/1P3NNP/1BBQ1PP1/3RR1K1 w - - 0 1,
045SBP,Medium,,r1b2rk1/5ppp/2p5/p1q1p3/PpB1Pn2/1Q6/1PPN1PPP/3R1RK1 w - - 0 1,
046SBP,Medium,,rr1nq2k/1ppn2pp/5p2/1PP1p3/1BQ1P1B1/8/5PPP/R4RK1 w - - 0 1,
047SBP,Medium,,4R3/3q1ppk/2p4p/2Pp3P/1p1P4/1P4P1/4QPK1/2r5 w - - 0 1,
048SBP,Medium,,r1r2q2/1p2pp1k/3p2p1/p1nP3p/2P5/1P2QP2/P5PP/1RRB2K1 b - - 0 1,
049SBP,Medium,,r4rk1/pppqpp1p/5bp1/8/2BPR3/2P5/PP3PPP/R2Q2K1 b - - 0 1,
050SBP,Medium,,r4rk1/2q2ppp/p1p1bn2/2b1pN2/4P3/3B4/PPP3PP/R1BQ1R1K w - - 0 1,
051SBP,Medium,,r1b2rk1/pp2qppp/2n1p3/8/3P4/P4NP1/3QPPBP/R4RK1 w - - 0 1,
052SBP,Medium,,r5k1/pp1b2pp/2n1pr2/3p4/2qN1P2/2P2N2/PP1Q2PP/R3K2R w KQ - 0 1,
053SBP,Medium,,r1bqr1k1/pp2pnbp/n1p2pp1/3p4/2PPP3/1P1B1N2/PB1N1PPP/R2QR1K1 b - - 0 1,
054SBP,Medium,,r3k2r/p4qpp/1pn2p2/2pNn3/2P1P3/P1P5/4Q1PP/R1B2RK1 w kq - 0 1,
055SBP,Medium,,2rq1rk1/pb1nbppp/1p2p3/8/3PPB2/PQ1B1N2/5PPP/R4RK1 b - - 0 1,
056SBP,Medium,,2q3k1/1b2bpp1/pp3n1p/2p1p3/P1B1P3/2NQBP2/1PP3PP/4K3 w - - 0 1,
057SBP,Medium,,r2q1rk1/pp1b1ppp/4p3/3nP3/2BP4/5N2/P2Q1PPP/R3R1K1 w - - 0 1,
058SBP,Medium,,1rbq1rk1/3n1ppp/p2b1n2/1ppPp3/4P3/1PN2N2/P4PPP/R1BQRBK1 b - - 0 1,
059SBP,Medium,,r1r3k1/4qppp/4n3/p1NRp3/Ppp1P3/4Q3/1PP2PPP/5RK1 w - - 0 1,
060SBP,Medium,,4rq2/5p1k/1p1pr1p1/p1n4p/2P5/PP3P2/2BQ2PP/1R2R1K1 b - - 0 1,
061SBP,Medium,,1rbr2k1/pp3ppp/2nqp3/8/3P4/P3PNP1/1Q3PBP/R1R3K1 w - - 0 1,
062SBP,Medium,,r4r1k/p4qpp/1p3p2/n1pNP3/2P3Q1/2P5/6PP/R4RK1 b - - 0 1,
063SBP,Medium,,6k1/5p2/7p/5p2/5P1P/b3N1P1/8/7K w - - 0 1,
064SBP,Medium,,1rr3k1/5ppp/1n2pb2/p1p5/P7/1PP1BP2/1NK3PP/3R3R w - - 0 1,
065SBP,Medium,,r1b1kb1r/pp3ppp/8/3p4/2pP4/1P2B3/1PP1NPPP/R3K2R w KQkq - 0 1,
066SBP,Medium,,r7/1ppkb3/p3p3/3pP1p1/PP1P4/2PRB1Pp/7P/5K2 b - - 0 1,
067SBP,Medium,,4n3/1b3k1p/p2p2p1/3Pp3/2P3P1/6PP/2BB4/6K1 w - - 0 1,
068SBP,Medium,,1r2r1k1/3n1pbp/pp4p1/2p1P3/5P2/1PN3PP/P3N1K1/R4R2 w - - 0 1,
069SBP,Medium,,5nk1/6p1/p2qp2p/1p2p3/1P2P1Q1/1BP3PP/5P2/6K1 w - - 0 1,
070SBP,Medium,,8/8/4n3/3k2p1/3B4/3K2P1/7P/8 w - - 0 1,
071SBP,Medium,,r1b1r1k1/pp1n1ppp/1n2p3/6B1/4P3/P5N1/1PR2PPP/4KB1R w K - 0 1,
072SBP,Medium,,8/3qnkp1/1p1p1p1p/p1pP1P1P/P1P3P1/1P2QK2/1B6/8 w - - 0 1,
073SBP,Medium,,2k5/4npp1/pp1p3p/3p4/1P1P1N2/P3P1P1/5P1P/6K1 w - - 0 1,
074SBP,Medium,,6n1/1pbb1p1k/3p3p/pP1PpP2/P3P3/7P/2BB3K/3N4 w - - 0 1,
075SBP,Medium,,6k1/1pq4p/n5p1/p1Pppp2/8/PPQN2P1/4PP1P/6K1 w - - 0 1,
076SBP,Medium,,6k1/5pp1/pq2p2p/1p2P3/8/8/PP3PPP/3Q1K2 b - - 0 1,
077SBP,Medium,,2b5/1pb2k2/p5p1/3pPp1p/PP1B1P1P/3BK3/6P1/8 w - - 0 1,
078SBP,Medium,,8/ppb2k2/2p1qpp1/7p/2PP4/1P1Q1N2/1P4PP/7K b - - 0 1,
079SBP,Medium,,4b1k1/1p3p2/4pPp1/p2pP1P1/P2P4/1P1B4/8/2K5 w - - 0 1,
080SBP,Medium,,8/3n4/2pb2k1/1p1p2Pp/3P3P/3NBK2/1P6/8 w - - 0 1,
081SBP,Medium,,3r1k2/4npp1/1ppr3p/p6P/P2PPPP1/1NR5/5K2/2R5 w - - 0 1,
082SBP,Medium,,8/1p2b2p/1pp1kpp1/5p2/1PP2P2/P1N3P1/6KP/8 b - - 0 1,
083SBP,Medium,,1r3rk1/ppp3pp/2nb4/1R3p2/3P4/2PB1P2/P4P1P/2B1R1K1 b - - 0 1,
084SBP,Medium,,3r2k1/1p1r1ppp/p4b2/P1pB4/R3P3/5PP1/1P1R1P2/6K1 w - - 0 1,
085SBP,Medium,,3q2k1/7p/3ppppP/p7/Pn1PP3/6P1/5P2/2Q2BK1 w - - 0 1,
086SBP,Medium,,8/p2q1ppk/Bp5p/2p5/7P/1Pb1PQP1/P4P2/6K1 w - - 0 1,
087SBP,Medium,,2r1rk2/4npp1/1p5p/p2pPP1P/P2N2P1/2R1K3/2R5/8 w - - 0 1,
088SBP,Medium,,8/2k1b1p1/pr3p1p/2pB1P2/4PP2/1PK3P1/8/R7 w - - 0 1,
