FEN,Moves,Moves_UCI,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r4rk1/pb3pb1/1pppqnpp/4n3/2P4B/P1N1PN2/1PQ1BPPP/3R1RK1 w - - 0 1,Nxe5,f3e5,0.5658669873631709,0.6104522820914586,71,122,f3d4,False,0.6089608040799901,0.6312501413084699,120,146,f3d4,False,0.6089608040799901,0.6312501413084699,120,146
r3kn1r/1bp1qp2/pp1b1n1p/3Pp1p1/P1B5/2N1PNB1/1P2QPPP/R4RK1 w kq - 0 1,a5,a4a5,0.521978289195222,0.591915609324709,23,101,f3d2,False,0.5725658331801222,0.5658919665398462,79,72,a4a5,True,0.521978289195222,0.591915609324709,23,101
rnbq1rk1/p3ppbp/1pp3p1/2Pp4/N2P1P2/3BP2P/PPQ3P1/2R1K1NR b K - 0 1,e5,e7e5,0.5059585563412561,0.5340066578563346,6,37,f7f6,False,0.523074753924244,0.5027615319200139,25,3,b8a6,False,0.511046498109149,0.53675438329054,12,40
3r2k1/1pqnbbpp/2p2p2/2N1p3/1P2P3/2QPB1P1/r4PBP/1R3RK1 b - - 0 1,b5,b7b5,0.5203932778960187,0.5,22,0,d8a8,False,0.5347113816940327,0.5,37,0,b7b5,True,0.5203932778960187,0.5,22,0
4rrk1/pb1nq1pp/1p1bp3/2p2pN1/2PP4/1P2Q3/PB2BPPP/4RRK1 w - - 0 1,Bh5,e2h5,0.3920323836958251,0.6086996650452808,-119,120,e2f3,False,0.47460448723261084,0.5239152574834706,-27,26,e2h5,True,0.3920323836958251,0.6086996650452808,-119,120
r2qnrn1/pp3pbk/3p2p1/2pPp2p/2P1P2N/5PPb/PPQBB2P/R2NR1K1 w - - 0 1,Nf5,h4f5,0.5537638138310457,0.6217730635233241,58,135,d1f2,False,0.6121547698005714,0.6406270050754315,123,157,d1f2,False,0.6121547698005714,0.6406270050754315,123,157
2rq1rk1/4b1pp/p1b1pp2/1pnp4/4PB1P/5PN1/PPPQB1P1/1K1R3R w - - 0 1,Nf5,g3f5,0.36786294204122216,0.5540980866051488,-147,59,e4d5,False,0.47222950456414575,0.4852759384118717,-30,-16,g3f5,True,0.36786294204122216,0.5540980866051488,-147,59
rn1qk2r/1p2bppp/p1n1p3/3bP3/3N1B2/3B1N2/PP3PPP/R2Q1RK1 b kq - 0 1,g5,g7g5,0.5788523512268712,0.5649872147270768,86,71,g7g5,True,0.5788523512268712,0.5649872147270768,86,71,g7g5,True,0.5788523512268712,0.5649872147270768,86,71
1r1qk2r/3b1p1p/Q2p2p1/2p1p3/2P1P3/2P1PN2/P4KPP/RR6 b k - 0 1,Ke7,e8e7,0.5727535858637283,0.6113275248507526,79,123,e8e7,True,0.5727535858637283,0.6113275248507526,79,123,e8e7,True,0.5727535858637283,0.6113275248507526,79,123
r2qr1k1/1p1b1p1p/p1n1pbp1/2Pp4/1P1B1P2/P1P2N2/3QB1PP/2R2RK1 w - - 0 1,Bxf6,d4f6,0.6042917521532257,0.6069442398881181,114,118,d4f6,True,0.6042917521532257,0.6069442398881181,114,118,d4f6,True,0.6042917521532257,0.6069442398881181,114,118
r4rk1/pp4pp/2p3b1/3pR2n/3P4/5P1B/PPP1N2P/2K3R1 b - - 0 1,Rxf3,f8f3,0.40825225917708413,0.6490594228774123,-100,167,h5f4,False,0.5119253107180972,0.5009205189599892,12,1,f8f3,True,0.40825225917708413,0.6490594228774123,-100,167
2r3k1/1r2bpp1/1Bnp2qp/1p2p3/4P3/PP1Q3P/2N2PP1/2RR2K1 w - - 0 1,Nb4,c2b4,0.5164615752664024,0.5874611371519987,17,96,b6e3,False,0.5619628072612368,0.5468090461073719,67,51,c2b4,True,0.5164615752664024,0.5874611371519987,17,96
1n1r1rk1/1pq1bppp/3p1n2/pB1Pp3/8/PN2BP2/1PP1Q1PP/1K1R3R w - - 0 1,Qc4,e2c4,0.6619238244084671,0.6664630487993781,182,188,g2g4,False,0.7078365318212404,0.7320812691889782,240,273,g2g4,False,0.7078365318212404,0.7320812691889782,240,273
1rbr2k1/p3qpb1/1pp1pnpp/2N5/3P4/1B2PN2/PPQ2PPP/2RR2K1 w - - 0 1,Ne5,f3e5,0.5237054179096231,0.5294226081270875,25,32,c5d3,False,0.5280123430392812,0.4714948226881868,30,-31,f3e5,True,0.5237054179096231,0.5294226081270875,25,32
r3rbk1/1nqb1p2/p2p1np1/2pPp3/NpP1P1P1/1P6/P1BB1P1N/R2QR1K1 b - - 0 1,Be7,f8e7,0.4411422238891823,0.5064432832995209,-64,7,d7a4,False,0.45770271601059553,0.4724124461074959,-46,-30,f8e7,True,0.4411422238891823,0.5064432832995209,-64,7
7k/1r2p1b1/p1q4p/4p1p1/P1n1N1P1/2P1P1BP/5P1K/RQ6 w - - 0 1,Qh1,b1h1,0.5521943138153145,0.5776116974476763,56,85,b1h1,True,0.5521943138153145,0.5776116974476763,56,85,b1h1,True,0.5521943138153145,0.5776116974476763,56,85
r5k1/pbr1qpp1/1pp1p2p/4N3/1bPPpP2/1P2P2Q/PB4PP/R4RK1 w - - 0 1,c5,c4c5,0.5607888164268697,0.5522778816577142,66,57,g2g4,False,0.6037861101204706,0.5385849714102531,114,42,c4c5,True,0.5607888164268697,0.5522778816577142,66,57
5rk1/1p1bqppp/2p1p2n/4P3/2P1B3/1PQ5/5P1P/B2R2K1 b - - 0 1,c5,c6c5,0.5629230957346629,0.6321068166142683,68,147,h6f5,False,0.5672229097284827,0.545896437602999,73,50,c6c5,True,0.5629230957346629,0.6321068166142683,68,147
2r3k1/p2q1pp1/1pn1p2r/1R1pPn1p/P4Q2/2PP1N1P/3B1PP1/1R4K1 w - - 0 1,a5,a4a5,0.5152394552886591,0.6025436609853058,16,113,b1e1,False,0.5368037921186658,0.5266697440308632,40,29,a4a5,True,0.5152394552886591,0.6025436609853058,16,113
r2q1r2/1b2bpk1/p2p1n1p/3Npp2/1p2P3/3Q4/PPPB1NPP/R4R1K w - - 0 1,Ne3,d5e3,0.47642033311284804,0.5865684965842631,-25,95,d5e7,False,0.6254870434935293,0.43139643471891215,139,-75,d5e3,True,0.47642033311284804,0.5865684965842631,-25,95
r2qk2r/pp3pbp/1np1pnp1/8/P2P1P2/3Q2N1/1PP1N1PP/R1B2RK1 w kq - 0 1,f5,f4f5,0.41771456173823207,0.5531881623684916,-90,58,b2b3,False,0.471134003958915,0.44135784741538037,-31,-64,f4f5,True,0.41771456173823207,0.5531881623684916,-90,58
r1b2rk1/p4pp1/2p4p/n3p1b1/8/3P1PN1/PP1P1P1P/RNB1R1K1 b - - 0 1,c5,c6c5,0.6373725528748806,0.726995752233842,153,266,c6c5,True,0.6373725528748806,0.726995752233842,153,266,c6c5,True,0.6373725528748806,0.726995752233842,153,266
1rq2rk1/3b1pbp/n2p2p1/1p1Pp2n/4P3/P1N1B2P/2QNBPP1/RR4K1 w - - 0 1,Ra2,a1a2,0.6164181118354175,0.6372292155838937,128,153,c2c1,False,0.6200171637699373,0.6431661450174323,132,160,c2c1,False,0.6200171637699373,0.6431661450174323,132,160
3r1rk1/pp3ppp/2p2qb1/3nN3/3P4/1B2R3/PP1Q1PPP/4R1K1 w - - 0 1,Bxd5,b3d5,0.5094311171996353,0.5713110574149894,10,78,e3f3,False,0.5476121311416646,0.5046024700028845,51,5,b3d5,True,0.5094311171996353,0.5713110574149894,10,78
4rrk1/4qpp1/p2b1n1p/1pnPp3/7P/2N1B2Q/PPB2PP1/2RR2K1 w - - 0 1,Ne2,c3e2,0.5398237564011411,0.623503343299711,43,137,b2b4,False,0.5742035114248394,0.5928047194327711,81,102,e3c5,False,0.5415486654234202,0.6507349938882695,45,169
4rrk1/1p1q1ppn/p1pp3p/4p1b1/PP1PP3/1R2BQNP/2P2PP1/4R1K1 b - - 0 1,f5,f7f5,0.44780006793322735,0.6156928792462818,-56,128,g5e3,False,0.463644663114094,0.497238468079986,-39,-3,f7f5,True,0.44780006793322735,0.6156928792462818,-56,128
r1bq1rk1/1p4p1/2n4p/p2pp3/7P/1BP3Q1/PP3PP1/R1B1K2R b KQ - 0 1,Rf6,f8f6,0.5138004845942701,0.5394998785122574,14,43,g8h8,False,0.5400048167936082,0.5385849714102531,43,42,f8f6,True,0.5138004845942701,0.5394998785122574,14,43
r2r2k1/p1p1ppbp/bn2q1p1/2p1P3/3P1N2/1PN1B3/P1Q2PPP/2R1K2R b K - 0 1,Qd7,e6d7,0.4878676653166705,0.5413288883579234,-13,45,e6c6,False,0.5921460603303648,0.46324561670945996,101,-40,e6d7,True,0.4878676653166705,0.5413288883579234,-13,45
1r3rk1/1ppnb1n1/p2p2q1/3Pp1pp/PPP1Pp2/2N2P1P/3BQ1PN/1R1R2K1 b - - 0 1,Ne8,g7e8,0.5003410300624821,0.5046024700028845,0,5,d7f6,False,0.5134154798607146,0.4742482461063748,14,-28,f8f7,False,0.5053462346995052,0.5358387144707508,5,39
3q2k1/1r1p1pp1/1p2p2p/nPb1N3/4PB2/P2Q2P1/5P1P/2R3K1 w - - 0 1,Nc6,e5c6,0.5175414256368256,0.6278152022123592,19,142,a3a4,False,0.5523234637052297,0.5202403732122675,57,22,e5c6,True,0.5175414256368256,0.6278152022123592,19,142
r2q1rk1/1b1nbpp1/pp3n1p/3p4/2pP1N2/2N1P1B1/PP3PPP/1BRQ1RK1 b - - 0 1,Re8,f8e8,0.46912837875569097,0.5128844269647328,-33,14,b6b5,False,0.5137551840960353,0.3696073624137258,14,-145,f8e8,True,0.46912837875569097,0.5128844269647328,-33,14
4rrk1/1pq1bppp/p1p1pnn1/4N1B1/2PP3P/2N3P1/PP1RQP2/R5K1 w - - 0 1,h5,h4h5,0.5924912253074179,0.6664630487993781,101,188,h4h5,True,0.5924912253074179,0.6664630487993781,101,188,h4h5,True,0.5924912253074179,0.6664630487993781,101,188
6rk/6pp/pp6/2bp1pQ1/4q3/1P2P2P/PB3PP1/2R3K1 w - - 0 1,h4,h3h4,0.573161335073642,0.613075853553636,80,125,g2g3,False,0.5854966037844357,0.5385849714102531,93,42,h3h4,True,0.573161335073642,0.613075853553636,80,125
2brrn1k/1p4pp/p1pq1p2/PnNp4/1P1P4/1N1BPP1P/2Q3P1/4RRK1 w - - 0 1,f4,f3f4,0.573648918752639,0.5963550316463674,80,106,c2f2,False,0.5907895000404777,0.5838871815019091,99,92,f3f4,True,0.573648918752639,0.5963550316463674,80,106
r1b1rnk1/1pq2pbp/2p3p1/2P1p3/N3P3/2BP4/2Q2PPP/RR1B2K1 w - - 0 1,Nb6,a4b6,0.5235428384006567,0.5064432832995209,25,7,h2h3,False,0.5305523545172759,0.4733302559691369,33,-29,a4b6,True,0.5235428384006567,0.5064432832995209,25,7
2r1rbk1/1b1qnpp1/p2p3p/1p1Pp3/6P1/PBP3N1/1P3PP1/R1BQR1K1 w - - 0 1,a4,a3a4,0.5802061664552821,0.6104522820914586,87,122,a3a4,True,0.5802061664552821,0.6104522820914586,87,122,a3a4,True,0.5802061664552821,0.6104522820914586,87,122
1rb3k1/2q2p1p/p2p4/2pPn1p1/2rbP3/R3BP1P/NP2Q1P1/1R1N2K1 w - - 0 1,Kh1,g1h1,0.5157513169842503,0.6086996650452808,17,120,b2b3,False,0.5172260467884542,0.45227865991833244,18,-52,g1h1,True,0.5157513169842503,0.6086996650452808,17,120
2rr4/Q1n1nqbk/2p3pp/3pp3/2P1B3/B1N5/P4PPP/2RR2K1 w - - 0 1,Qb7,a7b7,0.4521412646921791,0.6148212729952696,-52,127,a3e7,False,0.6474813461980709,0.45775702105393146,165,-46,a7b7,True,0.4521412646921791,0.6148212729952696,-52,127
r3r1k1/2b2q2/2b1p1pp/pp1p4/2nB1PB1/P1NQ2P1/1PP4P/1K1RR3 w - - 0 1,Re2,e1e2,0.5490482690460156,0.6217730635233241,53,135,d3e2,False,0.6099943768632488,0.46324561670945996,121,-40,e1e2,True,0.5490482690460156,0.6217730635233241,53,135
r1r3k1/pp1nppbp/3pb1p1/8/N1PBP3/5P2/PP2B1PP/2R2RK1 w - - 0 1,Bxg7,d4g7,0.5119835623999639,0.5,13,0,d4g7,True,0.5119835623999639,0.5,13,0,d4g7,True,0.5119835623999639,0.5,13,0
2r1k2r/2q2ppp/4pb2/R7/1pP5/5QP1/1PP2PKP/2B2R2 w k - 0 1,Ra4,a5a4,0.5635469634357964,0.5767131009559461,69,84,a5a8,False,0.5742425639965921,0.5147240615881282,81,16,a5a4,True,0.5635469634357964,0.5767131009559461,69,84
2rr2k1/1pq1bppp/p2p1n2/P2Pp3/4n3/4B3/1PPQBPPP/R1NR2K1 w - - 0 1,Qe1,d2e1,0.521255859363651,0.5758139966794447,23,83,d2b4,False,0.5370580509172137,0.5046024700028845,40,5,d2e1,True,0.521255859363651,0.5758139966794447,23,83
bqr3k1/r1pnbppp/p3pn2/B7/1p1P4/1N2QNP1/PP2PPBP/R1R3K1 w - - 0 1,Rc2,c1c2,0.5457044508933533,0.5722126153120402,49,79,f3e1,False,0.5593892791395564,0.545896437602999,64,50,c1c2,True,0.5457044508933533,0.5722126153120402,49,79
r4rk1/p4qb1/1np2npp/2N1p3/4Pp2/B4B2/P4PPP/R2QR1K1 w - - 0 1,Qc1,d1c1,0.5780171063305787,0.585675286773559,85,94,c5d3,False,0.601459069859548,0.5486333135073832,111,53,d1c1,True,0.5780171063305787,0.585675286773559,85,94
r1bqk1nr/1p3p1p/6p1/pNbBp3/3p4/PQ4P1/1P2PP1P/R1B1K2R b KQkq - 0 1,Kf8,e8f8,0.49697469245656867,0.5686035652810878,-3,75,e8f8,True,0.49697469245656867,0.5686035652810878,-3,75,e8f8,True,0.49697469245656867,0.5686035652810878,-3,75
2br1k2/p4p2/2Prn2p/6p1/6P1/q2BR3/4NPP1/1Q1R1K2 w - - 0 1,Kg1,f1g1,0.4684931758461817,0.5138042910293155,-34,15,f1g1,True,0.4684931758461817,0.5138042910293155,-34,15,f1g1,True,0.4684931758461817,0.5138042910293155,-34,15
2rr2k1/1p1nbppp/p2p4/q2Bn1P1/5B2/2N5/PPP2Q1P/1K1R3R w - - 0 1,Bxe5,f4e5,0.6328803493203934,0.6590564612649169,147,179,h1f1,False,0.6762428242853801,0.676211637485054,200,200,h1e1,False,0.6558551417308851,0.6770173032617418,175,201
1k3rr1/1p3ppp/pn6/3pPR2/2pP4/n1P2RP1/2PB2NP/6K1 w - - 0 1,e6,e5e6,0.526504715060442,0.6209067564512851,28,134,d2g5,False,0.5634210304385383,0.5422429789460687,69,46,e5e6,True,0.526504715060442,0.6209067564512851,28,134
3r1rk1/1bq2pbp/p3p1p1/1ppnP1N1/3P4/2PB2B1/P3QPPP/2R2RK1 b - - 0 1,Bh6,g7h6,0.5847290943940426,0.6086996650452808,92,120,c5d4,False,0.5888965471192393,0.6615341844106734,97,182,c5d4,False,0.5888965471192393,0.6615341844106734,97,182
1r1q1rk1/4ppbp/b2p2p1/p1n5/1p2P3/1P1PN1P1/R1PBQPBP/5RK1 w - - 0 1,Rd1,f1d1,0.4579538112162182,0.47608474251652944,-45,-26,f1b1,False,0.4750881647530626,0.3948139524217644,-27,-116,f1d1,True,0.4579538112162182,0.47608474251652944,-45,-26
r4rk1/6b1/p1bppp2/1p2q2p/4P3/3B4/PPP1NQPP/1K1R1R2 w - - 0 1,c3,c2c3,0.4932678867209648,0.5358387144707508,-7,39,e2d4,False,0.5437645804953555,0.4205926555346196,47,-87,c2c3,True,0.4932678867209648,0.5358387144707508,-7,39
5rk1/p1r3pp/5q2/1p1R1p2/2P1p3/1P1n1PP1/P3Q1BP/3R2K1 w - - 0 1,Rf1,d1f1,0.5134711310228548,0.5604570759825421,14,66,f3e4,False,0.5538589780851788,0.5138042910293155,58,15,d1f1,True,0.5134711310228548,0.5604570759825421,14,66
2r3k1/6b1/1p1p2qp/3Pp1p1/2P1p3/3nB1P1/P2QB2P/R5K1 w - - 0 1,a4,a2a4,0.5564019455012503,0.5954683835833042,61,105,a2a4,True,0.5564019455012503,0.5954683835833042,61,105,a2a4,True,0.5564019455012503,0.5954683835833042,61,105
r5k1/ppq3pp/5p2/n2p4/P1pPr1P1/B1P1P3/6PP/R2Q1RK1 w - - 0 1,g5,g4g5,0.5006292773115678,0.6243673063917166,0,138,g4g5,True,0.5006292773115678,0.6243673063917166,0,138,g4g5,True,0.5006292773115678,0.6243673063917166,0,138
r1b1nrk1/3pbppp/p1q1p3/1p4P1/4P3/P3BP2/1PPQN2P/2KR1B1R b - - 0 1,b4,b5b4,0.42901728414707146,0.48895555679024805,-77,-12,e8d6,False,0.45080642384327685,0.3808281678856246,-53,-132,b5b4,True,0.42901728414707146,0.48895555679024805,-77,-12
r2qkb1r/pppbp1pp/1n3p2/3P2B1/1Q2P3/2N2N2/PP3PPP/2KR3R w kq - 0 1,e5,e4e5,0.6002702614417751,0.6515713880482262,110,170,e4e5,True,0.6002702614417751,0.6515713880482262,110,170,e4e5,True,0.6002702614417751,0.6515713880482262,110,170
rn1r4/pp2kp2/2p2bp1/5b1p/2BP4/2N2N1P/PP3PP1/2KR3R w - - 0 1,g4,g2g4,0.46322201236335736,0.5695065266470701,-40,76,h1g1,False,0.5004002748067432,0.522078114090291,0,24,g2g4,True,0.46322201236335736,0.5695065266470701,-40,76
r2q1r2/1p1b2bk/2nP2pp/3Q1p2/p1B5/4B3/PP2NPPP/R4RK1 b - - 0 1,b5,b7b5,0.38203880320792866,0.5568256609665037,-130,62,a4a3,False,0.4993702720565176,0.4431743390334964,0,-62,b7b5,True,0.38203880320792866,0.5568256609665037,-130,62
2r1q1k1/pb3ppp/1p2p1n1/3nP3/3NBP2/P4Q2/1P2N1PP/4R1K1 w - - 0 1,f5,f4f5,0.517559978122027,0.676211637485054,19,200,h2h3,False,0.5306213158241195,0.5349228039541688,33,38,f4f5,True,0.517559978122027,0.676211637485054,19,200
2r2rk1/1pqbbppp/p2p1n2/P3p3/NnB1P3/4B3/1PPN1PPP/RQ2R1K1 b - - 0 1,d5,d6d5,0.5719595626733687,0.5658919665398462,78,72,d6d5,True,0.5719595626733687,0.5658919665398462,78,72,d6d5,True,0.5719595626733687,0.5658919665398462,78,72
r1b2rk1/1p4pp/2nq4/p1b1pp2/2P5/PP4P1/1B1PBP1P/R2QNRK1 b - - 0 1,f4,f5f4,0.6225939082459073,0.648220254322344,135,166,f5f4,True,0.6225939082459073,0.648220254322344,135,166,f5f4,True,0.6225939082459073,0.648220254322344,135,166
