FEN,Moves,Moves_UCI,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
3q1r1k/4nnbp/pr1p2p1/2pP4/R3NPP1/7P/1P6/3QRBBK w - - 0 1,b4,b2b4,0.616093471254012,0.7181388417094262,128,254,b2b3,False,0.6472666092083035,0.6183032245766588,164,131,b2b4,True,0.616093471254012,0.7181388417094262,128,254
br2rbk1/2qn1ppp/2pp4/p7/1pP1P3/1B1NBP2/PPQ3PP/3RR1K1 w - - 0 1,c5,c4c5,0.6214248436586106,0.6346718261450347,134,150,c4c5,True,0.6214248436586106,0.6346718261450347,134,150,c4c5,True,0.6214248436586106,0.6346718261450347,134,150
r1bqk2r/1p3pbp/p1nppnp1/8/2P1P3/1NNB4/PP3PPP/R1BQ1RK1 w kq - 0 1,Be2,d3e2,0.5809212766803371,0.6060654870564154,88,117,d3e2,True,0.5809212766803371,0.6060654870564154,88,117,d3e2,True,0.5809212766803371,0.6060654870564154,88,117
r3r3/2nq1pbk/p2p2pp/2pP4/Pp2PP2/6B1/1P1Q2PP/3NRRK1 b - - 0 1,f5,f7f5,0.5378603368730857,0.6338176636011208,41,149,f7f5,True,0.5378603368730857,0.6338176636011208,41,149,f7f5,True,0.5378603368730857,0.6338176636011208,41,149
2rq1rk1/5ppp/1p2p3/1PnbP3/p1RN3b/P3B2P/4BPP1/3Q1RK1 w - - 0 1,Nc6,d4c6,0.5432608951499006,0.5358387144707508,47,39,d4c6,True,0.5432608951499006,0.5358387144707508,47,39,c4c1,False,0.5123982229832384,0.5613639348680176,13,67
2r3k1/2q1bpp1/2n1p1n1/1p1rP2p/3pQ2P/3N1N2/PP1B1PP1/2R1R1K1 w - - 0 1,g4,g2g4,0.627893184109672,0.6156928792462818,142,128,a2a3,False,0.6297207003383893,0.6069442398881181,144,118,g2g3,False,0.6175857930315759,0.6414742687583961,130,158
1n3rk1/1bq1npbp/1p4p1/2p1p3/1PPp4/1Q1PPNP1/1B1N1PBP/R5K1 b - - 0 1,dxe3,d4e3,0.5549329882532787,0.5812008926446736,59,89,d4e3,True,0.5549329882532787,0.5812008926446736,59,89,d4e3,True,0.5549329882532787,0.5812008926446736,59,89
1r1r2k1/1b1nqpb1/1pp1p1pp/p7/N2P4/PQ2PN2/1P2BPPP/2RR2K1 b - - 0 1,c5,c6c5,0.5627385769879869,0.5495449603745888,68,54,c6c5,True,0.5627385769879869,0.5495449603745888,68,54,c6c5,True,0.5627385769879869,0.5495449603745888,68,54
r1bqr1k1/1p4bp/2pp2p1/p1n1pp1n/2P1P3/1PNPB1PP/P2QNPB1/R4RK1 w - - 0 1,exf5,e4f5,0.5729640030166971,0.6165637432224795,79,129,e4f5,True,0.5729640030166971,0.6165637432224795,79,129,e4f5,True,0.5729640030166971,0.6165637432224795,79,129
1nbq1rk1/1pp2ppp/3p1n2/4p3/1PP5/2Q2NP1/3PPP1P/B3KB1R b K - 0 1,b5,b7b5,0.4850716572645846,0.48987566402915633,-16,-11,b7b5,True,0.4850716572645846,0.48987566402915633,-16,-11,b7b5,True,0.4850716572645846,0.48987566402915633,-16,-11
3r4/p4pk1/1p2bqpp/2p5/2Pp2PP/PP1Q1P2/8/1K2R2R b - - 0 1,h5,h6h5,0.5683110005724878,0.591915609324709,74,101,h6h5,True,0.5683110005724878,0.591915609324709,74,101,h6h5,True,0.5683110005724878,0.591915609324709,74,101
rq3rk1/1b1nbppp/ppnpp3/8/2P1PP2/1NN1BB2/PP2Q1PP/2RR2K1 w - - 0 1,Na4,c3a4,0.5904371904849052,0.5686035652810878,99,75,c3a4,True,0.5904371904849052,0.5686035652810878,99,75,e2f2,False,0.5875972876445126,0.5910258971916128,96,100
r1q1kb1r/5ppp/1pbppn2/p7/PPP1P3/6P1/3N1PBP/R1BQ1RK1 w kq - 0 1,c5,c4c5,0.557965599117398,0.6802294368681915,63,205,b4b5,False,0.5878310799873987,0.6778219194709055,96,202,c4c5,True,0.557965599117398,0.6802294368681915,63,205
r4rk1/pb3pp1/1pp1pn1p/8/2PP3Q/qP1B1N2/P4PPP/R3R1K1 w - - 0 1,g4,g2g4,0.5669243282426955,0.6656440579806581,73,187,g2g4,True,0.5669243282426955,0.6656440579806581,73,187,g2g4,True,0.5669243282426955,0.6656440579806581,73,187
r1bqk2r/p1pnn1b1/1p1pp2p/5pp1/2PPP3/P1N1BN2/1P2BPPP/2RQ1RK1 w kq - 0 1,c5,c4c5,0.6016808766259036,0.5847815132358991,112,93,c4c5,True,0.6016808766259036,0.5847815132358991,112,93,c4c5,True,0.6016808766259036,0.5847815132358991,112,93
r1b2rk1/1pqn1ppp/p3pn2/3p4/1bPN4/1PN3P1/P1Q1PPBP/R1BR2K1 w - - 0 1,Na4,c3a4,0.601353407061755,0.6200396776969423,111,133,c3a4,True,0.601353407061755,0.6200396776969423,111,133,c3a4,True,0.601353407061755,0.6200396776969423,111,133
2r3k1/5pp1/p2q2bp/1p1p4/3Nn3/N1P1R3/PP3PPP/4Q1K1 b - - 0 1,b4,b5b4,0.5236956685031644,0.5928047194327711,25,102,b5b4,True,0.5236956685031644,0.5928047194327711,25,102,b5b4,True,0.5236956685031644,0.5928047194327711,25,102
1rq1r1k1/R3b1pp/1npppn2/1p2p1N1/1P1PP3/2NQB2P/2P2PP1/4R1K1 w - - 0 1,d5,d4d5,0.5596669728139858,0.6069442398881181,65,118,d4e5,False,0.6236932073423072,0.5330902822991305,137,36,d4d5,True,0.5596669728139858,0.6069442398881181,65,118
4rrk1/p2bq3/2pp2p1/5n1p/2P1N3/2P3P1/P2Q2BP/4RRK1 w - - 0 1,h3,h2h3,0.5727727688424731,0.6060654870564154,79,117,h2h3,True,0.5727727688424731,0.6060654870564154,79,117,h2h3,True,0.5727727688424731,0.6060654870564154,79,117
r4rk1/pb3pb1/1pppqnpp/4n3/2P4B/P1N1PN2/1PQ1BPPP/3R1RK1 w - - 0 1,Nxe5,f3e5,0.5658670309821756,0.6321068166142683,71,147,f3d4,False,0.6089607569910549,0.623503343299711,120,137,f3e5,True,0.5658670309821756,0.6321068166142683,71,147
r3kn1r/1bp1qp2/pp1b1n1p/3Pp1p1/P1B5/2N1PNB1/1P2QPPP/R4RK1 w kq - 0 1,a5,a4a5,0.5219782933563439,0.5559168418448287,23,61,f3d2,False,0.5725659081042869,0.5677001476173855,79,74,f1d1,False,0.5547958569872657,0.5767131009559461,59,84
rnbq1rk1/p3ppbp/1pp3p1/2Pp4/N2P1P2/3BP2P/PPQ3P1/2R1K1NR b K - 0 1,e5,e7e5,0.5059585445549164,0.5495449603745888,6,54,f7f6,False,0.5230747276237616,0.5239152574834706,25,26,e7e5,True,0.5059585445549164,0.5495449603745888,6,54
3r2k1/1pqnbbpp/2p2p2/2N1p3/1P2P3/2QPB1P1/r4PBP/1R3RK1 b - - 0 1,b5,b7b5,0.5203931738688429,0.5138042910293155,22,15,d8a8,False,0.5347113928887296,0.49907948104001076,37,-1,b7b5,True,0.5203931738688429,0.5138042910293155,22,15
4rrk1/pb1nq1pp/1p1bp3/2p2pN1/2PP4/1P2Q3/PB2BPPP/4RRK1 w - - 0 1,Bh5,e2h5,0.39203253228703766,0.5954683835833042,-119,105,e2f3,False,0.47460456156662134,0.49907948104001076,-27,-1,e2h5,True,0.39203253228703766,0.5954683835833042,-119,105
r2qnrn1/pp3pbk/3p2p1/2pPp2p/2P1P2N/5PPb/PPQBB2P/R2NR1K1 w - - 0 1,Nf5,h4f5,0.5537637447990023,0.6191718321143753,58,132,d1f2,False,0.6121546830162439,0.623503343299711,123,137,e2d3,False,0.6031546255551617,0.6260928550975975,113,140
2rq1rk1/4b1pp/p1b1pp2/1pnp4/4PB1P/5PN1/PPPQB1P1/1K1R3R w - - 0 1,Nf5,g3f5,0.36786317980809263,0.5613639348680176,-147,67,e4d5,False,0.47222943724217514,0.46874313267512907,-30,-34,g3f5,True,0.36786317980809263,0.5613639348680176,-147,67
rn1qk2r/1p2bppp/p1n1p3/3bP3/3N1B2/3B1N2/PP3PPP/R2Q1RK1 b kq - 0 1,g5,g7g5,0.5788524343922079,0.5686035652810878,86,75,g7g5,True,0.5788524343922079,0.5686035652810878,86,75,g7g5,True,0.5788524343922079,0.5686035652810878,86,75
1r1qk2r/3b1p1p/Q2p2p1/2p1p3/2P1P3/2P1PN2/P4KPP/RR6 b k - 0 1,Ke7,e8e7,0.5727534401764953,0.6025436609853058,79,113,e8e7,True,0.5727534401764953,0.6025436609853058,79,113,e8e7,True,0.5727534401764953,0.6025436609853058,79,113
r2qr1k1/1p1b1p1p/p1n1pbp1/2Pp4/1P1B1P2/P1P2N2/3QB1PP/2R2RK1 w - - 0 1,Bxf6,d4f6,0.6042918543398605,0.6139489294360486,114,126,d4f6,True,0.6042918543398605,0.6139489294360486,114,126,d4f6,True,0.6042918543398605,0.6139489294360486,114,126
r4rk1/pp4pp/2p3b1/3pR2n/3P4/5P1B/PPP1N2P/2K3R1 b - - 0 1,Rxf3,f8f3,0.40825242046784915,0.6423206501894636,-100,159,h5f4,False,0.5119253863503588,0.5082839219143761,12,9,f8f3,True,0.40825242046784915,0.6423206501894636,-100,159
2r3k1/1r2bpp1/1Bnp2qp/1p2p3/4P3/PP1Q3P/2N2PP1/2RR2K1 w - - 0 1,Nb4,c2b4,0.5164615246681102,0.5838871815019091,17,92,b6e3,False,0.5619627230716424,0.5686035652810878,67,75,c2b4,True,0.5164615246681102,0.5838871815019091,17,92
1n1r1rk1/1pq1bppp/3p1n2/pB1Pp3/8/PN2BP2/1PP1Q1PP/1K1R3R w - - 0 1,Qc4,e2c4,0.6619237147774404,0.6573997938422768,182,177,g2g4,False,0.7078364289287025,0.7299091321665175,240,270,e2d2,False,0.686085496296316,0.7371063102310783,212,280
1rbr2k1/p3qpb1/1pp1pnpp/2N5/3P4/1B2PN2/PPQ2PPP/2RR2K1 w - - 0 1,Ne5,f3e5,0.5237054732508184,0.53675438329054,25,40,c5d3,False,0.5280122648518569,0.47608474251652944,30,-26,f3e5,True,0.5237054732508184,0.53675438329054,25,40
r3rbk1/1nqb1p2/p2p1np1/2pPp3/NpP1P1P1/1P6/P1BB1P1N/R2QR1K1 b - - 0 1,Be7,f8e7,0.4411422440715932,0.4669097177008696,-64,-36,d7a4,False,0.45770284939244177,0.44954372531791664,-46,-55,f8e7,True,0.4411422440715932,0.4669097177008696,-64,-36
7k/1r2p1b1/p1q4p/4p1p1/P1n1N1P1/2P1P1BP/5P1K/RQ6 w - - 0 1,Qh1,b1h1,0.5521944178350301,0.5749143902876699,56,82,b1h1,True,0.5521944178350301,0.5749143902876699,56,82,b1d3,False,0.43825840147124107,0.5785097804984198,-67,86
r5k1/pbr1qpp1/1pp1p2p/4N3/1bPPpP2/1P2P2Q/PB4PP/R4RK1 w - - 0 1,c5,c4c5,0.5607888497087551,0.6122020503513589,66,124,g2g4,False,0.6037860121456898,0.5847815132358991,114,93,c4c5,True,0.5607888497087551,0.6122020503513589,66,124
5rk1/1p1bqppp/2p1p2n/4P3/2P1B3/1PQ5/5P1P/B2R2K1 b - - 0 1,c5,c6c5,0.5629229969201841,0.6573997938422768,68,177,h6f5,False,0.5672230416082438,0.585675286773559,73,94,c6c5,True,0.5629229969201841,0.6573997938422768,68,177
2r3k1/p2q1pp1/1pn1p2r/1R1pPn1p/P4Q2/2PP1N1P/3B1PP1/1R4K1 w - - 0 1,a5,a4a5,0.5152395045663514,0.6025436609853058,16,113,b1e1,False,0.5368038195566158,0.5303398401818216,40,33,a4a5,True,0.5152395045663514,0.6025436609853058,16,113
r2q1r2/1b2bpk1/p2p1n1p/3Npp2/1p2P3/3Q4/PPPB1NPP/R4R1K w - - 0 1,Ne3,d5e3,0.4764203636542231,0.5595498132599205,-25,65,d5e7,False,0.6254871634369041,0.4696601598181785,139,-33,d5e3,True,0.4764203636542231,0.5595498132599205,-25,65
r2qk2r/pp3pbp/1np1pnp1/8/P2P1P2/3Q2N1/1PP1N1PP/R1B2RK1 w kq - 0 1,f5,f4f5,0.41771462230520695,0.585675286773559,-90,94,b2b3,False,0.471133954396786,0.4468118376315084,-31,-58,f4f5,True,0.41771462230520695,0.585675286773559,-90,94
r1b2rk1/p4pp1/2p4p/n3p1b1/8/3P1PN1/PP1P1P1P/RNB1R1K1 b - - 0 1,c5,c6c5,0.6373727559218785,0.7240628269004115,153,262,c6c5,True,0.6373727559218785,0.7240628269004115,153,262,c6c5,True,0.6373727559218785,0.7240628269004115,153,262
1rq2rk1/3b1pbp/n2p2p1/1p1Pp2n/4P3/P1N1B2P/2QNBPP1/RR4K1 w - - 0 1,Ra2,a1a2,0.6164180965174524,0.6532413731006851,128,172,c2c1,False,0.620017322009309,0.6338176636011208,132,149,a1a2,True,0.6164180965174524,0.6532413731006851,128,172
3r1rk1/pp3ppp/2p2qb1/3nN3/3P4/1B2R3/PP1Q1PPP/4R1K1 w - - 0 1,Bxd5,b3d5,0.5094311701464522,0.5883532029754936,10,97,e3f3,False,0.5476120873401036,0.53675438329054,51,40,b3d5,True,0.5094311701464522,0.5883532029754936,10,97
4rrk1/4qpp1/p2b1n1p/1pnPp3/7P/2N1B2Q/PPB2PP1/2RR2K1 w - - 0 1,Ne2,c3e2,0.5398236959115701,0.6139489294360486,43,126,b2b4,False,0.5742035969774976,0.6025436609853058,81,113,g2g4,False,0.5478578993034613,0.6269544312155905,52,141
4rrk1/1p1q1ppn/p1pp3p/4p1b1/PP1PP3/1R2BQNP/2P2PP1/4R1K1 b - - 0 1,f5,f7f5,0.4478000668002573,0.6148212729952696,-56,127,g5e3,False,0.4636446410190405,0.519321294202434,-39,21,f7f5,True,0.4478000668002573,0.6148212729952696,-56,127
r1bq1rk1/1p4p1/2n4p/p2pp3/7P/1BP3Q1/PP3PP1/R1B1K2R b KQ - 0 1,Rf6,f8f6,0.5138006710125195,0.5695065266470701,14,76,g8h8,False,0.5400048853969113,0.5275875538925041,43,30,f8f6,True,0.5138006710125195,0.5695065266470701,14,76
r2r2k1/p1p1ppbp/bn2q1p1/2p1P3/3P1N2/1PN1B3/P1Q2PPP/2R1K2R b K - 0 1,Qd7,e6d7,0.4878678398925395,0.5649872147270768,-13,71,e6c6,False,0.5921461189408757,0.5101243359708437,101,11,e6d7,True,0.4878678398925395,0.5649872147270768,-13,71
1r3rk1/1ppnb1n1/p2p2q1/3Pp1pp/PPP1Pp2/2N2P1P/3BQ1PN/1R1R2K1 b - - 0 1,Ne8,g7e8,0.5003409958344522,0.5431567852197504,0,47,d7f6,False,0.5134153872080482,0.5138042910293155,14,15,g8h8,False,0.4969979796778058,0.5595498132599205,-3,65
3q2k1/1r1p1pp1/1p2p2p/nPb1N3/4PB2/P2Q2P1/5P1P/2R3K1 w - - 0 1,Nc6,e5c6,0.5175414137184929,0.5,19,0,a3a4,False,0.5523234561129662,0.53675438329054,57,40,a3a4,False,0.5523234561129662,0.53675438329054,57,40
r2q1rk1/1b1nbpp1/pp3n1p/3p4/2pP1N2/2N1P1B1/PP3PPP/1BRQ1RK1 b - - 0 1,Re8,f8e8,0.4691283232078741,0.5046024700028845,-33,5,b6b5,False,0.5137552024025415,0.38343625677752047,14,-129,f8e8,True,0.4691283232078741,0.5046024700028845,-33,5
4rrk1/1pq1bppp/p1p1pnn1/4N1B1/2PP3P/2N3P1/PP1RQP2/R5K1 w - - 0 1,h5,h4h5,0.5924912231360553,0.6431661450174323,101,160,h4h5,True,0.5924912231360553,0.6431661450174323,101,160,h4h5,True,0.5924912231360553,0.6431661450174323,101,160
6rk/6pp/pp6/2bp1pQ1/4q3/1P2P2P/PB3PP1/2R3K1 w - - 0 1,h4,h3h4,0.5731613531762327,0.5936932221056321,80,103,g2g3,False,0.5854965808271835,0.5577340998516674,93,63,h3h4,True,0.5731613531762327,0.5936932221056321,80,103
2brrn1k/1p4pp/p1pq1p2/PnNp4/1P1P4/1N1BPP1P/2Q3P1/4RRK1 w - - 0 1,f4,f3f4,0.5736489721415883,0.5928047194327711,80,102,c2f2,False,0.5907895227776786,0.5874611371519987,99,96,f3f4,True,0.5736489721415883,0.5928047194327711,80,102
r1b1rnk1/1pq2pbp/2p3p1/2P1p3/N3P3/2BP4/2Q2PPP/RR1B2K1 w - - 0 1,Nb6,a4b6,0.5235428814542182,0.5248335896523929,25,27,h2h3,False,0.5305523522326376,0.49907948104001076,33,-1,c2b2,False,0.5276662286297475,0.5248335896523929,30,27
2r1rbk1/1b1qnpp1/p2p3p/1p1Pp3/6P1/PBP3N1/1P3PP1/R1BQR1K1 w - - 0 1,a4,a3a4,0.5802062682658395,0.6165637432224795,87,129,a3a4,True,0.5802062682658395,0.6165637432224795,87,129,a3a4,True,0.5802062682658395,0.6165637432224795,87,129
1rb3k1/2q2p1p/p2p4/2pPn1p1/2rbP3/R3BP1P/NP2Q1P1/1R1N2K1 w - - 0 1,Kh1,g1h1,0.515751235990723,0.5667962794387497,17,73,b2b3,False,0.5172262439866113,0.4232868990440539,18,-84,g1h1,True,0.515751235990723,0.5667962794387497,17,73
2rr4/Q1n1nqbk/2p3pp/3pp3/2P1B3/B1N5/P4PPP/2RR2K1 w - - 0 1,Qb7,a7b7,0.45214122535746326,0.5722126153120402,-52,79,a3e7,False,0.6474815738699653,0.47884068475933794,165,-23,c4d5,False,0.5517879872645364,0.5794073444653803,56,87
r3r1k1/2b2q2/2b1p1pp/pp1p4/2nB1PB1/P1NQ2P1/1PP4P/1K1RR3 w - - 0 1,Re2,e1e2,0.549048282527585,0.6069442398881181,53,118,d3e2,False,0.6099943397324674,0.5248335896523929,121,27,e1e2,True,0.549048282527585,0.6069442398881181,53,118
r1r3k1/pp1nppbp/3pb1p1/8/N1PBP3/5P2/PP2B1PP/2R2RK1 w - - 0 1,Bxg7,d4g7,0.5119835946977964,0.5340066578563346,13,37,d4g7,True,0.5119835946977964,0.5340066578563346,13,37,d4g7,True,0.5119835946977964,0.5340066578563346,13,37
2r1k2r/2q2ppp/4pb2/R7/1pP5/5QP1/1PP2PKP/2B2R2 w k - 0 1,Ra4,a5a4,0.5635465748415432,0.5704090259445697,69,77,a5a8,False,0.5742425409822315,0.5495449603745888,81,54,a5a4,True,0.5635465748415432,0.5704090259445697,69,77
2rr2k1/1pq1bppp/p2p1n2/P2Pp3/4n3/4B3/1PPQBPPP/R1NR2K1 w - - 0 1,Qe1,d2e1,0.5212557906712423,0.5413288883579234,23,45,d2b4,False,0.5370580742214188,0.5874611371519987,40,96,d2b4,False,0.5370580742214188,0.5874611371519987,40,96
bqr3k1/r1pnbppp/p3pn2/B7/1p1P4/1N2QNP1/PP2PPBP/R1R3K1 w - - 0 1,Rc2,c1c2,0.545704263010072,0.5422429789460687,49,46,f3e1,False,0.5593892346688333,0.5568256609665037,64,62,f3e1,False,0.5593892346688333,0.5568256609665037,64,62
r4rk1/p4qb1/1np2npp/2N1p3/4Pp2/B4B2/P4PPP/R2QR1K1 w - - 0 1,Qc1,d1c1,0.5780170854150762,0.5865684965842631,85,95,c5d3,False,0.6014587904866049,0.5568256609665037,111,62,d1d3,False,0.5646125867791318,0.5910258971916128,70,100
r1bqk1nr/1p3p1p/6p1/pNbBp3/3p4/PQ4P1/1P2PP1P/R1B1K2R b KQkq - 0 1,Kf8,e8f8,0.4969746619611109,0.5713110574149894,-3,78,e8f8,True,0.4969746619611109,0.5713110574149894,-3,78,e8f8,True,0.4969746619611109,0.5713110574149894,-3,78
2br1k2/p4p2/2Prn2p/6p1/6P1/q2BR3/4NPP1/1Q1R1K2 w - - 0 1,Kg1,f1g1,0.4684933122988214,0.5486333135073832,-34,53,f1g1,True,0.4684933122988214,0.5486333135073832,-34,53,f1g1,True,0.4684933122988214,0.5486333135073832,-34,53
2rr2k1/1p1nbppp/p2p4/q2Bn1P1/5B2/2N5/PPP2Q1P/1K1R3R w - - 0 1,Bxe5,f4e5,0.6328802301032537,0.659883343273332,147,180,h1f1,False,0.6762428549884993,0.6975866953111407,200,227,h1f1,False,0.6762428549884993,0.6975866953111407,200,227
1k3rr1/1p3ppp/pn6/3pPR2/2pP4/n1P2RP1/2PB2NP/6K1 w - - 0 1,e6,e5e6,0.526504572116935,0.597241050790976,28,107,d2g5,False,0.5634210636430297,0.5550076484124536,69,60,e5e6,True,0.526504572116935,0.597241050790976,28,107
3r1rk1/1bq2pbp/p3p1p1/1ppnP1N1/3P4/2PB2B1/P3QPPP/2R2RK1 b - - 0 1,Bh6,g7h6,0.5847291231364152,0.6303926375862742,92,145,c5d4,False,0.5888963914422187,0.6372292155838937,97,153,c5d4,False,0.5888963914422187,0.6372292155838937,97,153
1r1q1rk1/4ppbp/b2p2p1/p1n5/1p2P3/1P1PN1P1/R1PBQPBP/5RK1 w - - 0 1,Rd1,f1d1,0.45795380112945194,0.4559296988800415,-45,-48,f1b1,False,0.47508821808439744,0.3939345129435846,-27,-117,e3d5,False,0.4277803932071016,0.467826316589383,-79,-35
r4rk1/6b1/p1bppp2/1p2q2p/4P3/3B4/PPP1NQPP/1K1R1R2 w - - 0 1,c3,c2c3,0.4932679924486755,0.5586421525846197,-7,64,e2d4,False,0.5437645708285193,0.4089741028083871,47,-100,c2c3,True,0.4932679924486755,0.5586421525846197,-7,64
5rk1/p1r3pp/5q2/1p1R1p2/2P1p3/1P1n1PP1/P3Q1BP/3R2K1 w - - 0 1,Rf1,d1f1,0.5134710809865618,0.5568256609665037,14,62,f3e4,False,0.5538591199534959,0.5513672504375507,58,56,d1f1,True,0.5134710809865618,0.5568256609665037,14,62
2r3k1/6b1/1p1p2qp/3Pp1p1/2P1p3/3nB1P1/P2QB2P/R5K1 w - - 0 1,a4,a2a4,0.5564019584574827,0.5936932221056321,61,103,a2a4,True,0.5564019584574827,0.5936932221056321,61,103,a2a4,True,0.5564019584574827,0.5936932221056321,61,103
r5k1/ppq3pp/5p2/n2p4/P1pPr1P1/B1P1P3/6PP/R2Q1RK1 w - - 0 1,g5,g4g5,0.5006293131659201,0.585675286773559,0,94,g4g5,True,0.5006293131659201,0.585675286773559,0,94,g4g5,True,0.5006293131659201,0.585675286773559,0,94
r1b1nrk1/3pbppp/p1q1p3/1p4P1/4P3/P3BP2/1PPQN2P/2KR1B1R b - - 0 1,b4,b5b4,0.42901730158723994,0.46874313267512907,-77,-34,e8d6,False,0.4508063687225962,0.3825661400242328,-53,-130,b5b4,True,0.42901730158723994,0.46874313267512907,-77,-34
r2qkb1r/pppbp1pp/1n3p2/3P2B1/1Q2P3/2N2N2/PP3PPP/2KR3R w kq - 0 1,e5,e4e5,0.6002703186547717,0.6786254827184693,110,203,e4e5,True,0.6002703186547717,0.6786254827184693,110,203,e4e5,True,0.6002703186547717,0.6786254827184693,110,203
rn1r4/pp2kp2/2p2bp1/5b1p/2BP4/2N2N1P/PP3PP1/2KR3R w - - 0 1,g4,g2g4,0.4632220124432159,0.5631764176433595,-40,69,h1g1,False,0.5004002299091483,0.5321736834106171,0,35,g2g4,True,0.4632220124432159,0.5631764176433595,-40,69
r2q1r2/1p1b2bk/2nP2pp/3Q1p2/p1B5/4B3/PP2NPPP/R4RK1 b - - 0 1,b5,b7b5,0.38203874375863994,0.47608474251652944,-130,-26,a4a3,False,0.4993702494826766,0.44226590014833245,0,-63,c6e5,False,0.49186555377178137,0.4917160780856239,-8,-9
2r1q1k1/pb3ppp/1p2p1n1/3nP3/3NBP2/P4Q2/1P2N1PP/4R1K1 w - - 0 1,f5,f4f5,0.517559823446117,0.5874611371519987,19,96,h2h3,False,0.5306213216235838,0.5285051773118131,33,31,f4f5,True,0.517559823446117,0.5874611371519987,19,96
2r2rk1/1pqbbppp/p2p1n2/P3p3/NnB1P3/4B3/1PPN1PPP/RQ2R1K1 b - - 0 1,d5,d6d5,0.5719595528028544,0.5803043837193158,78,88,d6d5,True,0.5719595528028544,0.5803043837193158,78,88,d6d5,True,0.5719595528028544,0.5803043837193158,78,88
